type,title,cast,country,rating,listed_in,cast_list,combination
TV Show,a queen is born,gloria groove  alexia twister,brazil,TV-14,"international tv shows, reality tv",Gloria Groove  Alexia Twister,"TV Show TV-14 international tv shows, reality tv brazil gloria groove  alexia twister"
TV Show,aunty donna's big ol' house of fun,mark samual bonanno  broden kelly  zachary ruane,australia,TV-MA,tv comedies,Mark Samual Bonanno  Broden Kelly  Zachary Ruane,TV Show TV-MA tv comedies australia mark samual bonanno  broden kelly  zachary ruane
TV Show,the liberator,bradley james  martin sensmeier  jose miguel vasquez,united states,TV-MA,"tv action & adventure, tv dramas",Bradley James  Martin Sensmeier  Jose Miguel Vasquez,"TV Show TV-MA tv action & adventure, tv dramas united states bradley james  martin sensmeier  jose miguel vasquez"
TV Show,trial 4,unknown,united states,TV-MA,"crime tv shows, docuseries",unknown,"TV Show TV-MA crime tv shows, docuseries united states unknown"
TV Show,a lion in the house,unknown,united states,TV-14,tv shows,unknown,TV Show TV-14 tv shows united states unknown
TV Show,dash & lily,midori francis  austin abrams  dante brown,united states,TV-14,"romantic tv shows, tv comedies, tv dramas",Midori Francis  Austin Abrams  Dante Brown,"TV Show TV-14 romantic tv shows, tv comedies, tv dramas united states midori francis  austin abrams  dante brown"
TV Show,bakugan: armored alliance,unknown,unknown,TV-Y7,"anime series, kids' tv",unknown,"TV Show TV-Y7 anime series, kids' tv unknown unknown"
TV Show,bakugan: battle planet,jonah wineberg  deven christian mack  margarita valderrama,"japan, canada, united states",TV-PG,"anime series, kids' tv",Jonah Wineberg  Deven Christian Mack  Margarita Valderrama,"TV Show TV-PG anime series, kids' tv japan, canada, united states jonah wineberg  deven christian mack  margarita valderrama"
TV Show,country ever after,unknown,united states,TV-PG,reality tv,unknown,TV Show TV-PG reality tv united states unknown
TV Show,wrong kind of black,clarence ryan  aaron l. mcgrath  lisa flanagan,australia,TV-MA,"international tv shows, tv comedies, tv dramas",Clarence Ryan  Aaron L. McGrath  Lisa Flanagan,"TV Show TV-MA international tv shows, tv comedies, tv dramas australia clarence ryan  aaron l. mcgrath  lisa flanagan"
TV Show,carmel: who killed maria marta?,unknown,argentina,TV-14,"crime tv shows, docuseries, international tv shows",unknown,"TV Show TV-14 crime tv shows, docuseries, international tv shows argentina unknown"
TV Show,paranormal,ahmed amin  razane jammal  ayah samaha,egypt,TV-14,"international tv shows, tv dramas, tv horror",Ahmed Amin  Razane Jammal  Ayah Samaha,"TV Show TV-14 international tv shows, tv dramas, tv horror egypt ahmed amin  razane jammal  ayah samaha"
TV Show,love & anarchy,ida engvoll  björn mosten  carla sehn,sweden,TV-MA,"international tv shows, romantic tv shows, tv comedies",Ida Engvoll  Björn Mosten  Carla Sehn,"TV Show TV-MA international tv shows, romantic tv shows, tv comedies sweden ida engvoll  björn mosten  carla sehn"
TV Show,can you hear me?,mélissa bédard  ève landry  florence longpré,canada,TV-MA,"international tv shows, tv comedies, tv dramas",Mélissa Bédard  Ève Landry  Florence Longpré,"TV Show TV-MA international tv shows, tv comedies, tv dramas canada mélissa bédard  ève landry  florence longpré"
TV Show,60 days in,unknown,united states,TV-MA,reality tv,unknown,TV Show TV-MA reality tv united states unknown
TV Show,dawson's creek,james van der beek  katie holmes  michelle williams,united states,TV-14,"romantic tv shows, tv dramas, teen tv shows",James Van Der Beek  Katie Holmes  Michelle Williams,"TV Show TV-14 romantic tv shows, tv dramas, teen tv shows united states james van der beek  katie holmes  michelle williams"
TV Show,forged in fire,wil willis,united states,TV-14,reality tv,Wil Willis,TV Show TV-14 reality tv united states wil willis
TV Show,leah remini: scientology and the aftermath,leah remini  mike rinder,united states,TV-14,docuseries,Leah Remini  Mike Rinder,TV Show TV-14 docuseries united states leah remini  mike rinder
TV Show,lego jurassic world: legend of isla nublar,unknown,united states,TV-Y,kids' tv,unknown,TV Show TV-Y kids' tv united states unknown
TV Show,lego jurassic world: secret exhibit,britt mckillip  ian hanlin  dhirendra,united states,TV-Y,kids' tv,Britt McKillip  Ian Hanlin  Dhirendra,TV Show TV-Y kids' tv united states britt mckillip  ian hanlin  dhirendra
TV Show,lego ninjago,michael adamthwaite  paul dobson  kelly metzger,canada,TV-Y7,kids' tv,Michael Adamthwaite  Paul Dobson  Kelly Metzger,TV Show TV-Y7 kids' tv canada michael adamthwaite  paul dobson  kelly metzger
TV Show,lego ninjago: masters of spinjitzu,vincent tong  jillian michaels  ian james corlett,"denmark, singapore, canada, united states",TV-Y7,kids' tv,Vincent Tong  Jillian Michaels  Ian James Corlett,"TV Show TV-Y7 kids' tv denmark, singapore, canada, united states vincent tong  jillian michaels  ian james corlett"
TV Show,lego: city adventures,joe zieja  misty lee  alex cazares,"united states, france, denmark",TV-Y,"kids' tv, tv comedies",Joe Zieja  Misty Lee  Alex Cazares,"TV Show TV-Y kids' tv, tv comedies united states, france, denmark joe zieja  misty lee  alex cazares"
TV Show,the garfield show,frank welker  wally wingert  gregg berger,"france, united states",TV-Y,"kids' tv, tv comedies",Frank Welker  Wally Wingert  Gregg Berger,"TV Show TV-Y kids' tv, tv comedies france, united states frank welker  wally wingert  gregg berger"
TV Show,the good detective,son hyun-joo  jang seung-jo  lee elijah,south korea,TV-MA,"crime tv shows, international tv shows, tv dramas",Son Hyun-joo  Jang Seung-jo  Lee Elijah,"TV Show TV-MA crime tv shows, international tv shows, tv dramas south korea son hyun-joo  jang seung-jo  lee elijah"
TV Show,voice,jang hyuk  lee ha-na  baek sung-hyun,south korea,TV-14,"crime tv shows, international tv shows, korean tv shows",Jang Hyuk  Lee Ha-na  Baek Sung-hyun,"TV Show TV-14 crime tv shows, international tv shows, korean tv shows south korea jang hyuk  lee ha-na  baek sung-hyun"
TV Show,afronta! facing it!,loo nascimento  ingrid silva  rincon sapiência,brazil,TV-PG,"docuseries, international tv shows",Loo Nascimento  Ingrid Silva  Rincon Sapiência,"TV Show TV-PG docuseries, international tv shows brazil loo nascimento  ingrid silva  rincon sapiência"
TV Show,zumbo's just desserts,adriano zumbo  rachel khoo,australia,TV-PG,"international tv shows, reality tv",Adriano Zumbo  Rachel Khoo,"TV Show TV-PG international tv shows, reality tv australia adriano zumbo  rachel khoo"
TV Show,kongsuni and friends,hong so-yeong  choi bo-bae  kim eun-ah,unknown,TV-Y,"kids' tv, korean tv shows",Hong So-yeong  Choi Bo-bae  Kim Eun-ah,"TV Show TV-Y kids' tv, korean tv shows unknown hong so-yeong  choi bo-bae  kim eun-ah"
TV Show,marvel's agents of s.h.i.e.l.d.,clark gregg  ming-na wen  brett dalton,united states,TV-14,"tv action & adventure, tv sci-fi & fantasy",Clark Gregg  Ming-Na Wen  Brett Dalton,"TV Show TV-14 tv action & adventure, tv sci-fi & fantasy united states clark gregg  ming-na wen  brett dalton"
TV Show,somebody feed phil,philip rosenthal,united states,TV-14,"docuseries, reality tv",Philip Rosenthal,"TV Show TV-14 docuseries, reality tv united states philip rosenthal"
TV Show,suburra: blood on rome,alessandro borghi  giacomo ferrara  eduardo valdarnini,italy,TV-MA,"crime tv shows, international tv shows, tv dramas",Alessandro Borghi  Giacomo Ferrara  Eduardo Valdarnini,"TV Show TV-MA crime tv shows, international tv shows, tv dramas italy alessandro borghi  giacomo ferrara  eduardo valdarnini"
TV Show,blood of zeus,derek phillips  jason o'mara  claudia christian,united states,TV-MA,anime series,Derek Phillips  Jason O'Mara  Claudia Christian,TV Show TV-MA anime series united states derek phillips  jason o'mara  claudia christian
TV Show,chico bon bon: monkey with a tool belt,robbie daymond  dayci brookshire  anthony tedesco,united states,TV-Y,kids' tv,Robbie Daymond  Dayci Brookshire  Anthony Tedesco,TV Show TV-Y kids' tv united states robbie daymond  dayci brookshire  anthony tedesco
TV Show,the devil punisher,mike he  ivy shao  anson chen,taiwan,TV-14,"international tv shows, romantic tv shows, tv mysteries",Mike He  Ivy Shao  Anson Chen,"TV Show TV-14 international tv shows, romantic tv shows, tv mysteries taiwan mike he  ivy shao  anson chen"
TV Show,barbarians,laurence rupp  jeanne goursaud  david schütter,germany,TV-MA,"international tv shows, tv action & adventure, tv dramas",Laurence Rupp  Jeanne Goursaud  David Schütter,"TV Show TV-MA international tv shows, tv action & adventure, tv dramas germany laurence rupp  jeanne goursaud  david schütter"
TV Show,move,unknown,united states,TV-MA,"docuseries, international tv shows",unknown,"TV Show TV-MA docuseries, international tv shows united states unknown"
TV Show,stolen away,daniel grao  carolina lapausa  melani olivares,spain,TV-MA,"crime tv shows, international tv shows, spanish-language tv shows",Daniel Grao  Carolina Lapausa  Melani Olivares,"TV Show TV-MA crime tv shows, international tv shows, spanish-language tv shows spain daniel grao  carolina lapausa  melani olivares"
TV Show,the queen's gambit,anya taylor-joy  bill camp  marielle heller,united states,TV-MA,tv dramas,Anya Taylor-Joy  Bill Camp  Marielle Heller,TV Show TV-MA tv dramas united states anya taylor-joy  bill camp  marielle heller
TV Show,my next guest needs no introduction with david letterman,president barack obama  george clooney  malala yousafzai,united states,TV-MA,stand-up comedy & talk shows,President Barack Obama  George Clooney  Malala Yousafzai,TV Show TV-MA stand-up comedy & talk shows united states president barack obama  george clooney  malala yousafzai
TV Show,unsolved mysteries,unknown,unknown,TV-MA,"crime tv shows, docuseries",unknown,"TV Show TV-MA crime tv shows, docuseries unknown unknown"
TV Show,start-up,bae suzy  nam joo-hyuk  kim seon-ho,south korea,TV-14,"international tv shows, romantic tv shows, tv comedies",Bae Suzy  Nam Joo-hyuk  Kim Seon-ho,"TV Show TV-14 international tv shows, romantic tv shows, tv comedies south korea bae suzy  nam joo-hyuk  kim seon-ho"
TV Show,grand army,odessa a’zion  odley jean  amir bageria,united states,TV-MA,"tv dramas, teen tv shows",Odessa A’zion  Odley Jean  Amir Bageria,"TV Show TV-MA tv dramas, teen tv shows united states odessa a’zion  odley jean  amir bageria"
TV Show,la révolution,amir el kacem  marilou aussilloux  lionel erdogan,france,TV-MA,"international tv shows, tv action & adventure, tv dramas",Amir El Kacem  Marilou Aussilloux  Lionel Erdogan,"TV Show TV-MA international tv shows, tv action & adventure, tv dramas france amir el kacem  marilou aussilloux  lionel erdogan"
TV Show,someone has to die,carmen maura  cecilia suárez  ester expósito,"mexico, spain",TV-MA,"crime tv shows, international tv shows, spanish-language tv shows",Carmen Maura  Cecilia Suárez  Ester Expósito,"TV Show TV-MA crime tv shows, international tv shows, spanish-language tv shows mexico, spain carmen maura  cecilia suárez  ester expósito"
TV Show,the last kids on earth,nick wolfhard  charles demers  garland whitt,united states,TV-Y7,"kids' tv, tv comedies",Nick Wolfhard  Charles Demers  Garland Whitt,"TV Show TV-Y7 kids' tv, tv comedies united states nick wolfhard  charles demers  garland whitt"
TV Show,fireman sam,steven kynman  david carling  tegwen tucker,united kingdom,TV-Y,"british tv shows, kids' tv",Steven Kynman  David Carling  Tegwen Tucker,"TV Show TV-Y british tv shows, kids' tv united kingdom steven kynman  david carling  tegwen tucker"
TV Show,half & half,rachel true  essence atkins  telma hopkins,united states,TV-14,tv comedies,Rachel True  Essence Atkins  Telma Hopkins,TV Show TV-14 tv comedies united states rachel true  essence atkins  telma hopkins
TV Show,one on one,flex alexander  kyla pratt  kelly perine,united states,TV-14,"tv comedies, teen tv shows",Flex Alexander  Kyla Pratt  Kelly Perine,"TV Show TV-14 tv comedies, teen tv shows united states flex alexander  kyla pratt  kelly perine"
TV Show,power rangers beast morphers,rorrie d. travis  jazz baduwalia  jacqueline scislowski,united states,TV-Y7,kids' tv,Rorrie D. Travis  Jazz Baduwalia  Jacqueline Scislowski,TV Show TV-Y7 kids' tv united states rorrie d. travis  jazz baduwalia  jacqueline scislowski
TV Show,social distance,danielle brooks  oscar nuñez  mike colter,united states,TV-MA,"tv comedies, tv dramas",Danielle Brooks  Oscar Nuñez  Mike Colter,"TV Show TV-MA tv comedies, tv dramas united states danielle brooks  oscar nuñez  mike colter"
TV Show,the cabin with bert kreischer,bert kreischer  anthony anderson  caitlyn jenner,united states,TV-MA,"reality tv, tv comedies",Bert Kreischer  Anthony Anderson  Caitlyn Jenner,"TV Show TV-MA reality tv, tv comedies united states bert kreischer  anthony anderson  caitlyn jenner"
TV Show,kipo and the age of wonderbeasts,karen fukuhara  sydney mikayla  deon cole,united states,TV-Y7,"kids' tv, tv comedies",Karen Fukuhara  Sydney Mikayla  Deon Cole,"TV Show TV-Y7 kids' tv, tv comedies united states karen fukuhara  sydney mikayla  deon cole"
TV Show,deaf u,unknown,united states,TV-MA,docuseries,unknown,TV Show TV-MA docuseries united states unknown
TV Show,the haunting of bly manor,victoria pedretti  oliver jackson-cohen  henry thomas,united states,TV-MA,"tv dramas, tv horror, tv mysteries",Victoria Pedretti  Oliver Jackson-Cohen  Henry Thomas,"TV Show TV-MA tv dramas, tv horror, tv mysteries united states victoria pedretti  oliver jackson-cohen  henry thomas"
TV Show,do do sol sol la la sol,go a-ra  lee jae-wook  kim ju-hun,south korea,TV-14,"international tv shows, romantic tv shows, tv comedies",Go A-ra  Lee Jae-wook  Kim Ju-hun,"TV Show TV-14 international tv shows, romantic tv shows, tv comedies south korea go a-ra  lee jae-wook  kim ju-hun"
TV Show,private lives,seohyun  ko kyung-pyo  kim hyo-jin,south korea,TV-14,"crime tv shows, international tv shows, tv dramas",Seohyun  Ko Kyung-pyo  Kim Hyo-jin,"TV Show TV-14 crime tv shows, international tv shows, tv dramas south korea seohyun  ko kyung-pyo  kim hyo-jin"
TV Show,the 100,eliza taylor  paige turco  bob morley,"united states, canada",TV-MA,"tv action & adventure, tv dramas, tv sci-fi & fantasy",Eliza Taylor  Paige Turco  Bob Morley,"TV Show TV-MA tv action & adventure, tv dramas, tv sci-fi & fantasy united states, canada eliza taylor  paige turco  bob morley"
TV Show,to the lake,viktoriya isakova  kirill käro  aleksandr robak,russia,TV-MA,"international tv shows, tv dramas, tv mysteries",Viktoriya Isakova  Kirill Käro  Aleksandr Robak,"TV Show TV-MA international tv shows, tv dramas, tv mysteries russia viktoriya isakova  kirill käro  aleksandr robak"
TV Show,bad boy billionaires: india,unknown,india,TV-14,"british tv shows, docuseries, international tv shows",unknown,"TV Show TV-14 british tv shows, docuseries, international tv shows india unknown"
TV Show,pat a pat como,unknown,unknown,TV-Y,kids' tv,unknown,TV Show TV-Y kids' tv unknown unknown
TV Show,qurious como,unknown,unknown,TV-Y,kids' tv,unknown,TV Show TV-Y kids' tv unknown unknown
TV Show,dreamworks happy holidays from madagascar,tom mcgrath  chris miller  christopher knights,united states,TV-PG,"kids' tv, tv comedies",Tom McGrath  Chris Miller  Christopher Knights,"TV Show TV-PG kids' tv, tv comedies united states tom mcgrath  chris miller  christopher knights"
TV Show,emily in paris,lily collins  philippine leroy-beaulieu  ashley park,united states,TV-MA,"romantic tv shows, tv comedies, tv dramas",Lily Collins  Philippine Leroy-Beaulieu  Ashley Park,"TV Show TV-MA romantic tv shows, tv comedies, tv dramas united states lily collins  philippine leroy-beaulieu  ashley park"
TV Show,h2o: just add water,cariba heine  phoebe tonkin  angus mclaren,australia,TV-PG,"kids' tv, tv dramas",Cariba Heine  Phoebe Tonkin  Angus McLaren,"TV Show TV-PG kids' tv, tv dramas australia cariba heine  phoebe tonkin  angus mclaren"
TV Show,evil,katja herbers  mike colter  aasif mandvi,united states,TV-14,tv dramas,Katja Herbers  Mike Colter  Aasif Mandvi,TV Show TV-14 tv dramas united states katja herbers  mike colter  aasif mandvi
TV Show,familiar wife,ji sung  han ji-min  kang han-na,south korea,TV-MA,"international tv shows, romantic tv shows, tv dramas",Ji Sung  Han Ji-min  Kang Han-na,"TV Show TV-MA international tv shows, romantic tv shows, tv dramas south korea ji sung  han ji-min  kang han-na"
TV Show,food wars!: shokugeki no soma,yoshitsugu matsuoka  risa taneda  minami takahashi,japan,TV-MA,"anime series, international tv shows, teen tv shows",Yoshitsugu Matsuoka  Risa Taneda  Minami Takahashi,"TV Show TV-MA anime series, international tv shows, teen tv shows japan yoshitsugu matsuoka  risa taneda  minami takahashi"
TV Show,"good morning, verônica",tainá müller  eduardo moscovis  camila morgado,brazil,TV-MA,"crime tv shows, international tv shows, tv mysteries",Tainá Müller  Eduardo Moscovis  Camila Morgado,"TV Show TV-MA crime tv shows, international tv shows, tv mysteries brazil tainá müller  eduardo moscovis  camila morgado"
TV Show,journey of an african colony,olasupo shasore,unknown,TV-MA,"docuseries, international tv shows",Olasupo Shasore,"TV Show TV-MA docuseries, international tv shows unknown olasupo shasore"
TV Show,oktoberfest: beer & blood,mišel matičević  martina gedeck  klaus steinbacher,"germany, czech republic",TV-MA,"international tv shows, tv dramas",Mišel Matičević  Martina Gedeck  Klaus Steinbacher,"TV Show TV-MA international tv shows, tv dramas germany, czech republic mišel matičević  martina gedeck  klaus steinbacher"
TV Show,secreto bien guardado,oriana sabatini  victorio d'alessandro  noemí frenkel,argentina,TV-MA,"international tv shows, romantic tv shows, spanish-language tv shows",Oriana Sabatini  Victorio D'Alessandro  Noemí Frenkel,"TV Show TV-MA international tv shows, romantic tv shows, spanish-language tv shows argentina oriana sabatini  victorio d'alessandro  noemí frenkel"
TV Show,sword art online,yoshitsugu matsuoka  haruka tomatsu  ayana taketatsu,japan,TV-MA,"anime series, international tv shows",Yoshitsugu Matsuoka  Haruka Tomatsu  Ayana Taketatsu,"TV Show TV-MA anime series, international tv shows japan yoshitsugu matsuoka  haruka tomatsu  ayana taketatsu"
TV Show,the parkers,mo'nique  countess vaughn  dorien wilson,united states,TV-PG,tv comedies,Mo'Nique  Countess Vaughn  Dorien Wilson,TV Show TV-PG tv comedies united states mo'nique  countess vaughn  dorien wilson
TV Show,the unicorn,walton goggins  rob corddry  michaela watkins,united states,TV-14,"tv comedies, tv dramas",Walton Goggins  Rob Corddry  Michaela Watkins,"TV Show TV-14 tv comedies, tv dramas united states walton goggins  rob corddry  michaela watkins"
TV Show,you cannot hide,blanca soto  eduardo noriega  iván sánchez,mexico,TV-MA,"crime tv shows, international tv shows, spanish-language tv shows",Blanca Soto  Eduardo Noriega  Iván Sánchez,"TV Show TV-MA crime tv shows, international tv shows, spanish-language tv shows mexico blanca soto  eduardo noriega  iván sánchez"
TV Show,black butler,daisuke ono  maaya sakamoto  hiroki touchi,japan,TV-MA,"anime series, international tv shows",Daisuke Ono  Maaya Sakamoto  Hiroki Touchi,"TV Show TV-MA anime series, international tv shows japan daisuke ono  maaya sakamoto  hiroki touchi"
TV Show,man with a plan,matt leblanc  liza snyder  grace kaufman,united states,TV-PG,tv comedies,Matt LeBlanc  Liza Snyder  Grace Kaufman,TV Show TV-PG tv comedies united states matt leblanc  liza snyder  grace kaufman
TV Show,wentworth,danielle cormack  nicole da silva  kate atkinson,australia,TV-MA,"crime tv shows, tv dramas",Danielle Cormack  Nicole da Silva  Kate Atkinson,"TV Show TV-MA crime tv shows, tv dramas australia danielle cormack  nicole da silva  kate atkinson"
TV Show,"whose vote counts, explained",unknown,united states,TV-PG,docuseries,unknown,TV Show TV-PG docuseries united states unknown
TV Show,van helsing,kelly overton  jonathan scarfe  christopher heyerdahl,united states,TV-MA,"international tv shows, tv action & adventure, tv dramas",Kelly Overton  Jonathan Scarfe  Christopher Heyerdahl,"TV Show TV-MA international tv shows, tv action & adventure, tv dramas united states kelly overton  jonathan scarfe  christopher heyerdahl"
TV Show,the good place,kristen bell  ted danson  william jackson harper,united states,TV-14,tv comedies,Kristen Bell  Ted Danson  William Jackson Harper,TV Show TV-14 tv comedies united states kristen bell  ted danson  william jackson harper
TV Show,a perfect crime,unknown,germany,TV-14,"crime tv shows, docuseries, international tv shows",unknown,"TV Show TV-14 crime tv shows, docuseries, international tv shows germany unknown"
TV Show,mighty little bheem,unknown,unknown,TV-Y,"kids' tv, tv comedies",unknown,"TV Show TV-Y kids' tv, tv comedies unknown unknown"
TV Show,sneakerheads,allen maldonado  andrew bachelor  jearnest corchado,united states,TV-MA,tv comedies,Allen Maldonado  Andrew Bachelor  Jearnest Corchado,TV Show TV-MA tv comedies united states allen maldonado  andrew bachelor  jearnest corchado
TV Show,the school nurse files,jung yu-mi  nam joo-hyuk,south korea,TV-MA,"international tv shows, tv dramas, tv mysteries",Jung Yu-mi  Nam Joo-hyuk,"TV Show TV-MA international tv shows, tv dramas, tv mysteries south korea jung yu-mi  nam joo-hyuk"
TV Show,the chef show,jon favreau  roy choi,united states,TV-MA,docuseries,Jon Favreau  Roy Choi,TV Show TV-MA docuseries united states jon favreau  roy choi
TV Show,the playbook,unknown,united states,TV-MA,docuseries,unknown,TV Show TV-MA docuseries united states unknown
TV Show,fukrey boyzzz,viraaj modgill  jasleen singh  pooja punjabi,unknown,TV-Y,"kids' tv, tv comedies",Viraaj Modgill  Jasleen Singh  Pooja Punjabi,"TV Show TV-Y kids' tv, tv comedies unknown viraaj modgill  jasleen singh  pooja punjabi"
TV Show,ratched,sarah paulson  finn wittrock  judy davis,united states,TV-MA,"tv dramas, tv horror, tv mysteries",Sarah Paulson  Finn Wittrock  Judy Davis,"TV Show TV-MA tv dramas, tv horror, tv mysteries united states sarah paulson  finn wittrock  judy davis"
TV Show,the american barbecue showdown,lyric lewis  rutledge wood,united states,TV-G,reality tv,Lyric Lewis  Rutledge Wood,TV Show TV-G reality tv united states lyric lewis  rutledge wood
TV Show,the blacklist,james spader  megan boone  diego klattenhoff,united states,TV-14,"crime tv shows, tv dramas, tv thrillers",James Spader  Megan Boone  Diego Klattenhoff,"TV Show TV-14 crime tv shows, tv dramas, tv thrillers united states james spader  megan boone  diego klattenhoff"
TV Show,dragon's dogma,greg chun  erica mendez  cristina vee,unknown,TV-MA,"anime series, international tv shows",Greg Chun  Erica Mendez  Cristina Vee,"TV Show TV-MA anime series, international tv shows unknown greg chun  erica mendez  cristina vee"
TV Show,the last word,anke engelke  thorsten merten  nina gummich,germany,TV-MA,"international tv shows, tv comedies, tv dramas",Anke Engelke  Thorsten Merten  Nina Gummich,"TV Show TV-MA international tv shows, tv comedies, tv dramas germany anke engelke  thorsten merten  nina gummich"
TV Show,baby,benedetta porcaroli  alice pagani  riccardo mandolini,italy,TV-MA,"international tv shows, tv dramas, teen tv shows",Benedetta Porcaroli  Alice Pagani  Riccardo Mandolini,"TV Show TV-MA international tv shows, tv dramas, teen tv shows italy benedetta porcaroli  alice pagani  riccardo mandolini"
TV Show,challenger,unknown,united states,TV-14,"docuseries, science & nature tv",unknown,"TV Show TV-14 docuseries, science & nature tv united states unknown"
TV Show,criminal: uk,katherine kelly  lee ingleby  mark stanley,"united kingdom, france, germany, spain",TV-MA,"british tv shows, crime tv shows, international tv shows",Katherine Kelly  Lee Ingleby  Mark Stanley,"TV Show TV-MA british tv shows, crime tv shows, international tv shows united kingdom, france, germany, spain katherine kelly  lee ingleby  mark stanley"
TV Show,signs,andrzej konopka  helena sujecka  piotr trojan,poland,TV-MA,"crime tv shows, international tv shows, tv dramas",Andrzej Konopka  Helena Sujecka  Piotr Trojan,"TV Show TV-MA crime tv shows, international tv shows, tv dramas poland andrzej konopka  helena sujecka  piotr trojan"
TV Show,sing on!,tituss burgess,united states,TV-PG,reality tv,Tituss Burgess,TV Show TV-PG reality tv united states tituss burgess
TV Show,call the midwife,vanessa redgrave  bryony hannah  helen george,united kingdom,TV-MA,"british tv shows, international tv shows, tv dramas",Vanessa Redgrave  Bryony Hannah  Helen George,"TV Show TV-MA british tv shows, international tv shows, tv dramas united kingdom vanessa redgrave  bryony hannah  helen george"
TV Show,taco chronicles,unknown,united states,TV-MA,"docuseries, international tv shows, reality tv",unknown,"TV Show TV-MA docuseries, international tv shows, reality tv united states unknown"
TV Show,buddi,greta jameson  ralf jameson  clementine laikin,"united kingdom, china",TV-Y,"british tv shows, kids' tv",Greta Jameson  Ralf Jameson  Clementine Laikin,"TV Show TV-Y british tv shows, kids' tv united kingdom, china greta jameson  ralf jameson  clementine laikin"
TV Show,family business,jonathan cohen  gérard darmon  julia piaton,france,TV-MA,"international tv shows, tv comedies, tv dramas",Jonathan Cohen  Gérard Darmon  Julia Piaton,"TV Show TV-MA international tv shows, tv comedies, tv dramas france jonathan cohen  gérard darmon  julia piaton"
TV Show,girlfriends,tracee ellis ross  golden brooks  persia white,united states,TV-14,tv comedies,Tracee Ellis Ross  Golden Brooks  Persia White,TV Show TV-14 tv comedies united states tracee ellis ross  golden brooks  persia white
TV Show,the barrier,unax ugalde  olivia molina  eleonora wexler,spain,TV-MA,"international tv shows, spanish-language tv shows, tv dramas",Unax Ugalde  Olivia Molina  Eleonora Wexler,"TV Show TV-MA international tv shows, spanish-language tv shows, tv dramas spain unax ugalde  olivia molina  eleonora wexler"
TV Show,the duchess,katherine ryan  rory keenan  katy byrne,united kingdom,TV-MA,"british tv shows, international tv shows, tv comedies",Katherine Ryan  Rory Keenan  Katy Byrne,"TV Show TV-MA british tv shows, international tv shows, tv comedies united kingdom katherine ryan  rory keenan  katy byrne"
TV Show,greenleaf,merle dandridge  kim hawthorne  desiree ross,united states,TV-14,tv dramas,Merle Dandridge  Kim Hawthorne  Desiree Ross,TV Show TV-14 tv dramas united states merle dandridge  kim hawthorne  desiree ross
TV Show,julie and the phantoms,madison reyes  charlie gillespie  owen patrick joyner,united states,TV-G,"kids' tv, tv comedies",Madison Reyes  Charlie Gillespie  Owen Patrick Joyner,"TV Show TV-G kids' tv, tv comedies united states madison reyes  charlie gillespie  owen patrick joyner"
TV Show,get organized with the home edit,unknown,united states,TV-PG,reality tv,unknown,TV Show TV-PG reality tv united states unknown
TV Show,la línea: shadow of narco,unknown,spain,TV-MA,"crime tv shows, docuseries, international tv shows",unknown,"TV Show TV-MA crime tv shows, docuseries, international tv shows spain unknown"
TV Show,record of youth,park bo-gum  park so-dam  byeon woo-seok,south korea,TV-14,"international tv shows, romantic tv shows, tv dramas",Park Bo-gum  Park So-dam  Byeon Woo-seok,"TV Show TV-14 international tv shows, romantic tv shows, tv dramas south korea park bo-gum  park so-dam  byeon woo-seok"
TV Show,transformers: cyberverse,sophia isabella  jeremy levy  jacob tillman,unknown,TV-Y7,kids' tv,Sophia Isabella  Jeremy Levy  Jacob Tillman,TV Show TV-Y7 kids' tv unknown sophia isabella  jeremy levy  jacob tillman
TV Show,cleverman,hunter page-lochard  rob collins  deborah mailman,"australia, new zealand, united states",TV-MA,"tv dramas, tv sci-fi & fantasy, tv thrillers",Hunter Page-Lochard  Rob Collins  Deborah Mailman,"TV Show TV-MA tv dramas, tv sci-fi & fantasy, tv thrillers australia, new zealand, united states hunter page-lochard  rob collins  deborah mailman"
TV Show,away,hilary swank  josh charles  vivian wu,united states,TV-14,"romantic tv shows, tv dramas, tv sci-fi & fantasy",Hilary Swank  Josh Charles  Vivian Wu,"TV Show TV-14 romantic tv shows, tv dramas, tv sci-fi & fantasy united states hilary swank  josh charles  vivian wu"
TV Show,spirit riding free: riding academy,amber frank  bailey gambertoglio  sydney park,united states,TV-Y7,kids' tv,Amber Frank  Bailey Gambertoglio  Sydney Park,TV Show TV-Y7 kids' tv united states amber frank  bailey gambertoglio  sydney park
TV Show,young wallander,adam pålsson  richard dillane  leanne best,united kingdom,TV-MA,"crime tv shows, international tv shows, tv dramas",Adam Pålsson  Richard Dillane  Leanne Best,"TV Show TV-MA crime tv shows, international tv shows, tv dramas united kingdom adam pålsson  richard dillane  leanne best"
TV Show,chef's table: bbq,unknown,united states,TV-14,"docuseries, reality tv",unknown,"TV Show TV-14 docuseries, reality tv united states unknown"
TV Show,the witcher: a look inside the episodes,henry cavill  anya chalotra  freya allan,unknown,TV-MA,"docuseries, tv sci-fi & fantasy",Henry Cavill  Anya Chalotra  Freya Allan,"TV Show TV-MA docuseries, tv sci-fi & fantasy unknown henry cavill  anya chalotra  freya allan"
