director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
joe wright,kelly macdonald,guro nagelhus schia,matthew macfadyen,drama romance,Anna Karenina
neill blomkamp,hugh jackman,sharlto copley,jose pablo cantillo,action crime drama sci-fi thriller,Chappie
phillip noyce,denzel washington,angelina jolie pitt,leland orser,crime drama mystery thriller,The Bone Collector
david fincher,kristen stewart,dwight yoakam,mel rodriguez,crime drama thriller,Panic Room
chuck bowman,p.j. soles,lochlyn munro,steve bacic,horror thriller,The Tooth Fairy
david o. russell,judy greer,jamie kennedy,mykelti williamson,action adventure comedy drama war,Three Kings
daniel espinosa,tom hardy,fares fares,michael nardone,crime drama thriller,Child 44
jerry zucker,corinna harney,douglas haase,vince vieluf,adventure comedy,Rat Race
iain softley,kevin spacey,jeff bridges,alfre woodard,drama mystery sci-fi,K-PAX
james mangold,hugh jackman,natasha lyonne,bradley whitford,comedy fantasy romance,Kate & Leopold
harold ramis,brendan fraser,frances o'connor,brian doyle-murray,comedy fantasy romance,Bedazzled
francis ford coppola,nicolas cage,bob hoskins,fred gwynne,crime drama music,The Cotton Club
james mangold,christian bale,logan lerman,gretchen mol,adventure crime drama western,3:10 to Yuma
olivier megaton,liam neeson,dougray scott,jon gries,action thriller,Taken 3
steven soderbergh,don cheadle,albert brooks,keith hudson,crime drama romance thriller,Out of Sight
ben stiller,matthew broderick,janeane garofalo,andy dick,comedy drama thriller,The Cable Guy
deepa mehta,nandita das,gulshan grover,eric peterson,drama romance war,Earth
warren beatty,charlie korsmo,warren beatty,seymour cassel,action comedy crime music romance thriller,Dick Tracy
john mctiernan,mark margolis,faye dunaway,denis leary,crime romance thriller,The Thomas Crown Affair
penny marshall,rosie perez,adam garcia,alissa dean,biography comedy drama,Riding in Cars with Boys
ted kotcheff,sylvester stallone,brian dennehy,chris mulkey,action adventure drama,First Blood
andrei tarkovsky,donatas banionis,anatoliy solonitsyn,natalya bondarchuk,drama mystery sci-fi,Solaris
paul bolger,sarah michelle gellar,george carlin,rob paulsen,adventure animation comedy family fantasy,Happily N'Ever After
stephen frears,julia roberts,bronagh gallagher,george cole,drama horror romance thriller,Mary Reilly
p.j. hogan,julia roberts,christopher masterson,rupert everett,comedy romance,My Best Friend's Wedding
joe roth,julia roberts,rainn wilson,larry king,comedy romance,America's Sweethearts
christopher nolan,al pacino,maura tierney,crystal lowe,drama mystery thriller,Insomnia
jonathan frakes,levar burton,alfre woodard,jonathan frakes,action adventure drama sci-fi thriller,Star Trek: First Contact
jimmy hayward,michael fassbender,billy blair,julia jones,action drama fantasy thriller western,Jonah Hex
edward zwick,denzel washington,matt damon,scott glenn,action drama mystery thriller war,Courage Under Fire
tom shadyac,maura tierney,swoosie kurtz,randall 'tex' cobb,comedy fantasy romance,Liar Liar
brad furman,joseph gilgun,amy ryan,olympia dukakis,biography crime drama thriller,The Infiltrator
terence young,laurence olivier,ben gazzara,jacqueline bisset,drama history war,Inchon
brian levant,jonathan winters,elizabeth perkins,harvey korman,comedy family fantasy,The Flintstones
olivier megaton,liam neeson,luke grimes,d.b. sweeney,action crime thriller,Taken 2
david zucker,regina hall,pamela anderson,jenny mccarthy,comedy,Scary Movie 3
donald petrie,candice bergen,wendy raquel robinson,heather burns,action comedy crime romance,Miss Congeniality
eric brevig,josh hutcherson,brendan fraser,anita briem,action adventure family fantasy sci-fi,Journey to the Center of the Earth
garry marshall,anne hathaway,raven-symoné,hector elizondo,comedy family romance,The Princess Diaries 2: Royal Engagement
alan j. pakula,denzel washington,julia roberts,tony goldwyn,crime drama mystery thriller,The Pelican Brief
joel schumacher,bradley whitford,anthony lapaglia,brad renfro,crime drama mystery thriller,The Client
rob reiner,morgan freeman,noel gugliemi,sean hayes,adventure comedy drama,The Bucket List
phillip noyce,harrison ford,polly walker,patrick bergin,action thriller,Patriot Games
robert luketic,adam scott,jane fonda,elaine stritch,comedy romance,Monster-in-Law
denis villeneuve,hugh jackman,jake gyllenhaal,dylan minnette,crime drama mystery thriller,Prisoners
antoine fuqua,denzel washington,snoop dogg,tom berenger,crime drama thriller,Training Day
dean parisot,alan rickman,enrico colantoni,robin sachs,adventure comedy sci-fi,Galaxy Quest
keenen ivory wayans,natasha lyonne,veronica cartwright,andy richter,comedy,Scary Movie 2
james bobin,bill cobbs,eric jacobson,steve whitmire,adventure comedy family musical,The Muppets
stephen norrington,sanaa lathan,traci lords,udo kier,action horror,Blade
thomas carter,channing tatum,rick gonzalez,robert ri'chard,drama sport,Coach Carter
roger michell,sydney pollack,matt malloy,bruce altman,drama thriller,Changing Lanes
luis llosa,frank welker,eric stoltz,kari wuhrer,action adventure horror thriller,Anaconda
david mcnally,adam garcia,tyra banks,izabella miko,comedy drama music romance,Coyote Ugly
richard curtis,colin firth,liam neeson,kris marshall,comedy drama romance,Love Actually
john lasseter,kevin spacey,madeline kahn,john ratzenberger,adventure animation comedy family fantasy,A Bug's Life
albert hughes,johnny depp,jason flemyng,ian richardson,horror mystery thriller,From Hell
luis llosa,sylvester stallone,rod steiger,emilio estefan jr.,action crime drama romance thriller,The Specialist
ron shelton,don johnson,cheech marin,rene russo,comedy drama romance sport,Tin Cup
melville shavelson,lucille ball,tom bosley,tim matheson,comedy family,"Yours, Mine and Ours"
jesse dylan,josh hutcherson,will ferrell,robert duvall,comedy family romance sport,Kicking & Screaming
garth jennings,zooey deschanel,kelly macdonald,thomas lennon,adventure comedy sci-fi,The Hitchhiker's Guide to the Galaxy
joel zwick,dania ramirez,nick zano,alice greczyn,comedy family fantasy romance,Fat Albert
russell mulcahy,milla jovovich,mike epps,james tumminia,action horror sci-fi thriller,Resident Evil: Extinction
frank coraci,bella thorne,adam sandler,joel mchale,comedy romance,Blended
wayne wang,ll cool j,alicia witt,timothy hutton,adventure comedy drama,Last Holiday
curtis hanson,meryl streep,glenn morshower,william lucking,action adventure crime thriller,The River Wild
frank oz,steve coogan,vincent kartheiser,david keith,drama family fantasy,The Indian in the Cupboard
oliver stone,demián bichir,shea whigham,gary stretch,crime drama thriller,Savages
david r. ellis,richard burgi,valerie cruz,will beinbrink,action crime thriller,Cellular
peter howitt,kevin mcnally,natalie imbruglia,ben miller,action adventure comedy,Johnny English
john a. davis,nicolas cage,meryl streep,julia roberts,adventure animation comedy family fantasy,The Ant Bully
david lynch,virginia madsen,jürgen prochnow,josé ferrer,action adventure sci-fi,Dune
julie taymor,jim sturgess,t.v. carpio,robert clohessy,drama fantasy musical romance,Across the Universe
sam mendes,leonardo dicaprio,kate winslet,joe komara,drama romance,Revolutionary Road
richard donner,bruce willis,david zayas,sasha roiz,action crime drama thriller,16 Blocks
mathieu kassovitz,vin diesel,charlotte rampling,david belle,action adventure sci-fi thriller,Babylon A.D.
john gray,alexa penavega,bob gunton,keenen ivory wayans,action comedy crime drama thriller,The Glimmer Man
harold ramis,john de lancie,brian doyle-murray,obba babatundé,comedy romance sci-fi,Multiplicity
john schultz,malese jow,carter jenkins,tim meadows,adventure comedy family fantasy sci-fi,Aliens in the Attic
sean penn,costas mandylor,adrien dorval,nels lennarson,crime drama mystery thriller,The Pledge
susan stroman,jon lovitz,will ferrell,matthew broderick,comedy musical,The Producers
pete travis,wood harris,jason cope,rakie ayola,action sci-fi,Dredd
simon wincer,cary-hiroyuki tagawa,treat williams,kristy swanson,action adventure comedy fantasy,The Phantom
billy bob thornton,matt damon,henry thomas,sam shepard,drama romance western,All the Pretty Horses
oliver stone,anthony hopkins,bob hoskins,joan allen,biography drama history,Nixon
roman polanski,jim belushi,olivia williams,timothy hutton,mystery thriller,The Ghost Writer
stephen sommers,djimon hounsou,jason flemyng,wes studi,action adventure horror sci-fi,Deep Rising
spike lee,joseph gordon-levitt,omari hardwick,laz alonso,action crime drama thriller war,Miracle at St. Anna
yimou zhang,li gong,ye liu,man li,drama romance,Curse of the Golden Flower
danny pang,nicolas cage,charlie yeung,james with,action crime thriller,Bangkok Dangerous
barry sonnenfeld,zooey deschanel,janeane garofalo,omar epps,comedy crime thriller,Big Trouble
mike newell,marcela mar,giovanna mezzogiorno,unax ugalde,drama romance,Love in the Time of Cholera
unknown,pierre perrier,clotilde hesme,céline sallette,drama fantasy horror mystery,The Returned            
george p. cosmatos,sam waterston,ben gazzara,nicholas turturro,action thriller,Shadow Conspiracy
oliver parker,daniel kaluuya,tim mcinnerny,togo igawa,action adventure comedy crime,Johnny English Reborn
lawrence kasanoff,jerry stiller,larry miller,harvey fierstein,action animation comedy family fantasy,Foodfight!
ben affleck,clea duvall,scoot mcnairy,tate donovan,biography drama history thriller,Argo
andrew davis,harrison ford,daniel roebuck,sela ward,action adventure crime drama mystery thriller,The Fugitive
andy tennant,gerard butler,dorian missick,peter greene,action comedy romance,The Bounty Hunter
barry levinson,robert de niro,brad pitt,minnie driver,crime drama thriller,Sleepers
george p. cosmatos,sylvester stallone,julia nickson,martin kove,action adventure thriller war,Rambo: First Blood Part II
brian gibson,joseph gordon-levitt,demi moore,anne heche,drama thriller,The Juror
norman ferguson,mel blanc,dickie jones,cliff edwards,animation family fantasy musical,Pinocchio
michael cimino,jeff bridges,sam waterston,isabelle huppert,adventure drama western,Heaven's Gate
len wiseman,sophia myles,tony curran,derek jacobi,action adventure fantasy sci-fi thriller,Underworld: Evolution
paul mcguigan,daniel radcliffe,spencer wilding,daniel mays,drama horror sci-fi thriller,Victor Frankenstein
gus van sant,f. murray abraham,rob brown,michael nouri,drama,Finding Forrester
betty thomas,steve buscemi,viggo mortensen,elizabeth perkins,comedy drama,28 Days
louis leterrier,morgan freeman,jet li,bob hoskins,action crime drama thriller,Unleashed
roger kumble,judith chapman,lillian adams,chelsea bond,comedy romance,The Sweetest Thing
sydney pollack,tom cruise,holly hunter,wilford brimley,drama mystery thriller,The Firm
burr steers,augustus prew,charlie tahan,valerie tian,drama fantasy romance,Charlie St. Cloud
simon west,jason statham,tony goldwyn,mini anden,action crime thriller,The Mechanic
phil lord,channing tatum,dax flame,rob riggle,action comedy crime,21 Jump Street
roger michell,julia roberts,clarke peters,dylan moran,comedy drama romance,Notting Hill
peter lord,imelda staunton,miranda richardson,julia sawalha,adventure animation comedy drama family,Chicken Run
john hamburg,philip seymour hoffman,masi oka,debra messing,comedy romance,Along Came Polly
reginald hudlin,john witherspoon,eartha kitt,geoffrey holder,comedy drama romance,Boomerang
paul feig,michael rapaport,william xifaras,demián bichir,action comedy crime,The Heat
joseph l. mankiewicz,martin landau,richard burton,roddy mcdowall,biography drama history romance,Cleopatra
frank coraci,salma hayek,reggie lee,charice,action comedy sport,Here Comes the Boom
carl franklin,morgan freeman,adam scott,bruce davison,crime drama mystery thriller,High Crimes
barbra streisand,jeff bridges,austin pendleton,mimi rogers,comedy drama romance,The Mirror Has Two Faces
mark pellington,debra messing,will patton,david eigenberg,drama horror mystery thriller,The Mothman Prophecies
larry charles,bono,elton john,slash,comedy,Brüno
john glen,robert davi,talisa soto,anthony zerbe,action adventure thriller,Licence to Kill
catherine hardwicke,gary oldman,billy burke,virginia madsen,fantasy horror mystery thriller,Red Riding Hood
john herzfeld,robert de niro,charlize theron,kelsey grammer,action crime drama thriller,15 Minutes
annabel jankel,bob hoskins,fisher stevens,fiona shaw,adventure comedy family fantasy sci-fi,Super Mario Bros.
andrew niccol,nicolas cage,jeremy crutchley,jared burke,crime drama thriller,Lord of War
yimou zhang,jet li,tony chiu wai leung,maggie cheung,action adventure history,Hero
julie anne robinson,fisher stevens,debbie reynolds,patrick fischler,action comedy crime romance thriller,One for the Money
evan goldberg,james franco,randall park,anders holm,comedy,The Interview
sngmoo lee,tony cox,dong-gun jang,jed brophy,action fantasy western,The Warrior's Way
unknown,tim conway,gavin macleod,bob hastings,comedy war,McHale's Navy            
jean-pierre jeunet,omar sy,dany boon,andré dussollier,action comedy crime,Micmacs
curtis hanson,mekhi phifer,omar benson miller,evan jones,drama music,8 Mile
jamel debbouze,jamel debbouze,youssef hajdi,mélissa theuriau,adventure animation comedy family,Animal Kingdom: Let's go Ape
brian helgeland,heath ledger,rufus sewell,bérénice bejo,action adventure romance,A Knight's Tale
gordon chan,julian sands,lee evans,anthony chau-sang wong,action comedy fantasy,The Medallion
m. night shyamalan,bruce willis,haley joel osment,olivia williams,drama mystery thriller,The Sixth Sense
asger leth,robert clohessy,mandy gonzalez,j. smith-cameron,action crime thriller,Man on a Ledge
david frankel,joel mchale,kevin pollak,jobeth williams,comedy,The Big Year
john g. avildsen,martin kove,william zabka,william bassett,action drama family sport,The Karate Kid
david o. russell,jennifer lawrence,christian bale,bradley cooper,crime drama,American Hustle
anne fletcher,ryan reynolds,denis o'hare,craig t. nelson,comedy drama romance,The Proposal
bruce beresford,bruce greenwood,annabeth gish,bruce campbell,crime mystery thriller,Double Jeopardy
robert zemeckis,lea thompson,jeffrey weissman,thomas f. wilson,adventure comedy sci-fi,Back to the Future Part II
luc besson,scarlett johansson,morgan freeman,amr waked,action sci-fi thriller,Lucy
sam taylor-johnson,jennifer ehle,luke grimes,callum rennie,drama romance,Fifty Shades of Grey
robert rodriguez,sylvester stallone,salma hayek,alexa penavega,action adventure comedy family sci-fi,Spy Kids 3-D: Game Over
joel schumacher,kevin spacey,matthew mcconaughey,oliver platt,crime drama thriller,A Time to Kill
shawn levy,tom welling,alyson stoner,bonnie hunt,comedy family,Cheaper by the Dozen
peter berg,jerry ferrara,scott elrod,dan bilzerian,action biography drama thriller war,Lone Survivor
penny marshall,tom hanks,lori petty,rosie o'donnell,comedy drama sport,A League of Their Own
james wan,javier botet,frances o'connor,robin atkin downes,horror mystery thriller,The Conjuring 2
david fincher,andrew garfield,dustin fitzsimons,marcella lentz-pope,biography drama,The Social Network
ken kwapis,carmen perez,sabrina revelle,sachiko ishida,comedy drama romance,He's Just Not That Into You
david zucker,beau mirchoff,carmen electra,regina hall,comedy,Scary Movie 4
wes craven,kelly rutherford,roger jackson,nancy o'dell,horror mystery,Scream 3
robert zemeckis,lea thompson,jeffrey weissman,thomas f. wilson,adventure comedy sci-fi western,Back to the Future Part III
etan cohen,will ferrell,alison brie,craig t. nelson,comedy crime,Get Hard
francis ford coppola,keanu reeves,anthony hopkins,gary oldman,fantasy horror romance,Bram Stoker's Dracula
nora ephron,meryl streep,mary lynn rajskub,vanessa ferlito,biography drama romance,Julie & Julia
brian helgeland,harrison ford,christopher meloni,nicole beharie,biography drama sport,42
anthony minghella,philip seymour hoffman,matt damon,jack davenport,crime drama thriller,The Talented Mr. Ripley
bobby farrelly,bill murray,kathleen turner,rob riggle,comedy,Dumb and Dumber To
frank marshall,paul walker,bruce greenwood,wendy crewson,adventure drama family,Eight Below
nancy meyers,robert de niro,anne hathaway,rene russo,comedy drama,The Intern
tim story,olivia munn,nadine velazquez,bruce mcgill,action comedy,Ride Along 2
michael mann,wes studi,terry kinney,eric schweig,action adventure drama romance war,The Last of the Mohicans
taylor hackford,bokeem woodbine,curtis armstrong,harry lennix,biography drama music,Ray
frank miller,rosario dawson,powers boothe,jason douglas,crime thriller,Sin City
pete travis,dennis quaid,edgar ramírez,william hurt,crime drama mystery thriller,Vantage Point
john hamburg,j.k. simmons,jon favreau,jane curtin,comedy romance,"I Love You, Man"
bobby farrelly,jason alexander,bruce mcgill,susan ward,comedy drama fantasy romance,Shallow Hal
oliver stone,sally kirkland,jay o. sanders,cheryl penland,drama history thriller,JFK
john whitesell,chloë grace moretz,nia long,marisol nichols,comedy crime,Big Momma's House 2
gore verbinski,j.k. simmons,brad pitt,julia roberts,adventure comedy crime romance,The Mexican
angelina jolie pitt,finn wittrock,jack o'connell,alex russell,biography drama sport war,Unbroken
burr steers,matthew perry,hunter parrish,thomas lennon,comedy drama family fantasy romance,17 Again
nick cassavetes,don johnson,kate upton,david thornton,comedy romance,The Other Woman
david r. ellis,krista allen,andrew fiscella,shantel vansanten,horror,The Final Destination
steven spielberg,tom hanks,mark rylance,amy ryan,drama history thriller,Bridge of Spies
john moore,joaquim de almeida,david keith,sam jaeger,action drama thriller war,Behind Enemy Lines
nicholas stoller,pink,mario lopez,lino facioli,comedy music,Get Him to the Greek
peter chelsom,lisa ann walter,nick cannon,omar benson miller,comedy drama romance,Shall We Dance
joe dante,kirsten dunst,denis leary,robert picardo,action adventure comedy family sci-fi,Small Soldiers
mark a.z. dippé,michael jai white,frank welker,miko hughes,action horror,Spawn
kevin reynolds,henry cavill,james frain,michael wincott,action adventure drama romance thriller,The Count of Monte Cristo
brad furman,matthew mcconaughey,margarita levieva,frances fisher,crime drama thriller,The Lincoln Lawyer
jaume collet-serra,liam neeson,frank langella,aidan quinn,action mystery thriller,Unknown
christopher nolan,christian bale,hugh jackman,scarlett johansson,drama mystery sci-fi thriller,The Prestige
sean anders,kevin spacey,christoph waltz,lindsay sloane,comedy crime,Horrible Bosses 2
cal brunker,brendan fraser,paul scheer,jonathan morgan heit,adventure animation comedy family sci-fi,Escape from Planet Earth
mel gibson,rudy youngblood,dalia hernández,jonathan brewer,action adventure drama thriller,Apocalypto
john glen,joe don baker,desmond llewelyn,art malik,action adventure thriller,The Living Daylights
nimród antal,topher grace,alice braga,derek mears,action adventure sci-fi thriller,Predators
ivan reitman,brian dennehy,debra winger,roscoe lee browne,comedy crime romance,Legal Eagles
david koepp,johnny depp,charles s. dutton,timothy hutton,mystery thriller,Secret Window
alejandro agresti,keanu reeves,dylan walsh,ebon moss-bachrach,drama fantasy romance,The Lake House
iain softley,gena rowlands,deneen tyler,joy bryant,horror mystery thriller,The Skeleton Key
peter hedges,jennifer garner,odeya rush,common,comedy drama family fantasy,The Odd Life of Timothy Green
paul weiland,busy philipps,beau garrett,kevin sussman,comedy romance,Made of Honor
clint eastwood,johnny cannizzaro,steve schirripa,scott vance,biography drama music musical,Jersey Boys
francis ford coppola,matt damon,dean stockwell,virginia madsen,crime drama thriller,The Rainmaker
mathieu kassovitz,robert downey jr.,charles s. dutton,bernard hill,horror mystery thriller,Gothika
steven spielberg,anthony hopkins,morgan freeman,matthew mcconaughey,drama history,Amistad
john mctiernan,lorraine bracco,josé wilker,sean connery,adventure drama romance,Medicine Man
colin strause,sam trammell,johnny lewis,ian whyte,action horror sci-fi thriller,Aliens vs. Predator: Requiem
donald petrie,macaulay culkin,john larroquette,jonathan hyde,comedy family,Ri¢hie Ri¢h
joan chen,j.k. simmons,sam trammell,elaine stritch,drama romance,Autumn in New York
marc lawrence,brad garrett,scott porter,haley bennett,comedy music romance,Music and Lyrics
greg mottola,bobby lee,nelson ascencio,jeremy owen,adventure comedy sci-fi,Paul
anne fletcher,miriam margolyes,tom virtue,julene renee,comedy drama,The Guilt Trip
wes craven,alison brie,aimee teegarden,shenae grimes-beech,horror mystery,Scream 4
joel schumacher,nicolas cage,chris bauer,anthony heald,mystery thriller,8MM
oliver stone,michael wincott,kevin dillon,kathleen quinlan,biography drama music musical,The Doors
jake kasdan,james wilcox,randall park,nat faxon,comedy,Sex Tape
diane keaton,adam arkin,celia weston,jesse james,comedy drama,Hanging Up
steven quale,emma bell,jacqueline macinnes wood,courtney b. vance,horror,Final Destination 5
kelly makin,jeanne tripplehorn,burt young,vincent pastore,comedy crime romance,Mickey Blue Eyes
mimi leder,kevin spacey,haley joel osment,angie dickinson,drama,Pay It Forward
bobby farrelly,jimmy fallon,kadee strickland,ione skye,comedy drama romance sport,Fever Pitch
unknown,bruce dinsmore,melissa altro,daniel brochu,animation comedy family,Arthur            
steven brill,lisa ann walter,shaun weiss,matt walsh,comedy drama,Drillbit Taylor
seth macfarlane,liam neeson,charlize theron,seth macfarlane,comedy western,A Million Ways to Die in the West
russell mulcahy,jonathan winters,peter boyle,john kapelos,action adventure crime fantasy mystery thriller,The Shadow
stephen daldry,tom hanks,thomas horn,stephen henderson,adventure drama mystery,Extremely Loud & Incredibly Close
roger michell,noah bean,patti d'arbanville,vanessa aspillaga,comedy drama romance,Morning Glory
jim sheridan,50 cent,bill duke,marc john jefferies,biography crime drama music,Get Rich or Die Tryin'
christian duguay,michael biehn,cary-hiroyuki tagawa,anne archer,action adventure crime thriller,The Art of War
chris columbus,rosario dawson,david fine,jesse l. martin,drama musical romance,Rent
chuck russell,rufus sewell,jimmy smits,angela bettis,crime drama horror thriller,Bless the Child
sam weisman,oliver hudson,valerie perri,carlease burke,comedy,The Out-of-Towners
john frankenheimer,marlon brando,temuera morrison,marco hofschneider,horror sci-fi thriller,The Island of Dr. Moreau
peter hyams,catherine deneuve,justin chambers,stephen rea,action adventure romance,The Musketeer
justin chadwick,natalie portman,scarlett johansson,benedict cumberbatch,biography drama history romance,The Other Boleyn Girl
pat o'connor,keanu reeves,charlize theron,frank langella,drama romance,Sweet November
stephen hopkins,stephen rea,andrea frankle,william ragsdale,horror thriller,The Reaping
martin scorsese,robert de niro,david carradine,david proval,crime drama romance thriller,Mean Streets
penny marshall,ed begley jr.,cliff robertson,lillo brancato,comedy drama,Renaissance Man
olivier megaton,jordi mollà,callum blue,jesse borrego,action crime drama thriller,Colombiana
frederik du chau,gary oldman,jaleel white,eric idle,adventure animation comedy drama family fantasy musical,The Magic Sword: Quest for Camelot
michael caton-jones,robert de niro,james franco,john doman,crime drama mystery thriller,City by the Sea
irwin winkler,mira sorvino,nathan lane,steven weber,drama romance,At First Sight
joseph kahn,dane cook,jay hernandez,christina milian,action comedy crime,Torque
harold becker,al pacino,martin landau,bridget fonda,drama thriller,City Hall
paul verhoeven,bobbie phillips,elizabeth berkley,robert davi,drama,Showgirls
sofia coppola,kirsten dunst,shirley henderson,rip torn,biography drama history romance,Marie Antoinette
barbet schroeder,nicolas cage,michael rapaport,philip baker hall,action crime thriller,Kiss of Death
stephen kay,sylvester stallone,miranda richardson,lauren lee smith,action crime drama thriller,Get Carter
j.a. bayona,naomi watts,geraldine chaplin,oaklee pendergast,drama thriller,The Impossible
elaine may,carol kane,warren beatty,isabelle adjani,action adventure comedy music thriller,Ishtar
wes anderson,bill murray,meryl streep,helen mccrory,adventure animation comedy crime family,Fantastic Mr. Fox
stephen herek,angelina jolie pitt,stockard channing,james gammon,comedy romance,Life or Something Like It
john carpenter,richard epcar,michael mckean,patricia heaton,comedy romance sci-fi thriller,Memoirs of an Invisible Man
jean-pierre jeunet,mathieu kassovitz,jamel debbouze,isabelle nanty,comedy romance,Amélie
dennie gordon,mary-kate olsen,bob saget,riley smith,comedy crime family romance,New York Minute
charles shyer,omar epps,nia long,jane krakowski,comedy drama romance,Alfie
ken kwapis,ted danson,tim blake nelson,andrew daly,biography drama romance,Big Miracle
ulu grosbard,alexa penavega,treat williams,jonathan jackson,drama,The Deep End of the Ocean
william malone,natascha mcelhone,jeffrey combs,udo kier,crime horror thriller,Feardotcom
paul weitz,josh hutcherson,salma hayek,patrick fugit,action adventure fantasy thriller,Cirque du Freak: The Vampire's Assistant
paul mcguigan,daniel radcliffe,spencer wilding,daniel mays,drama horror sci-fi thriller,Victor Frankenstein
danny devito,justin theroux,amber valletta,harvey fierstein,comedy,Duplex
malcolm d. lee,bernie mac,sean hayes,mike epps,comedy drama music,Soul Men
jerry jameson,m. emmet walsh,jason robards,anne archer,action adventure drama thriller,Raise the Titanic
mic rodgers,michael jai white,daniel von bargen,xander berkeley,action sci-fi,Universal Soldier: The Return
christian alvart,norman reedus,dennis quaid,eddie rouse,action horror mystery sci-fi thriller,Pandorum
gary fleder,gary dourdan,mekhi phifer,tim guinee,drama mystery sci-fi thriller,Impostor
christian duguay,rufus sewell,bridgette wilson-sampras,rupert graves,action adventure thriller,Extreme Ops
jean-marie poiré,bridgette wilson-sampras,matt ross,john aylward,comedy fantasy sci-fi,Just Visiting
danny boyle,chris evans,benedict wong,troy garity,adventure sci-fi thriller,Sunshine
brian robbins,john gatins,lou saliba,greg collins,comedy drama,A Thousand Words
marc f. adler,eric idle,anne bancroft,kelly ripa,adventure animation comedy fantasy romance,Delgo
pierre morel,ray winstone,mark rylance,jasmine trinca,action crime drama mystery thriller,The Gunman
geoffrey sax,alex pettyfer,sophie okonedo,ashley walters,action adventure family thriller,Alex Rider: Operation Stormbreaker
d.j. caruso,sarah roemer,aaron yoo,jose pablo cantillo,drama mystery thriller,Disturbia
iain softley,angelina jolie pitt,fisher stevens,lorraine bracco,comedy crime drama thriller,Hackers
richard shepard,james brolin,zan marolt,ljubomir kerekes,adventure comedy drama romance thriller war,The Hunting Party
joel coen,jennifer jason leigh,bill cobbs,john mahoney,comedy fantasy,The Hudsucker Proxy
peter ho-sun chan,jet li,takeshi kaneshiro,andy lau,action drama history romance war,The Warlords
sergey bodrov,jay hernandez,kuno becker,jason scott lee,drama history war,Nomad: The Warrior
joon-ho bong,chris evans,ewen bremner,kang-ho song,action drama sci-fi thriller,Snowpiercer
bibo bergeron,adam goldberg,bob balaban,françois cluzet,adventure animation comedy fantasy music romance,A Monster in Paris
jeff nathanson,matthew broderick,glenn morshower,tim blake nelson,comedy,The Last Shot
alex proyas,michael wincott,bai ling,david patrick kelly,action drama fantasy,The Crow
s.s. rajamouli,tamannaah bhatia,anushka shetty,prabhas,action adventure drama fantasy war,Baahubali: The Beginning
robert schwentke,arliss howard,brooklynn proulx,michelle nolden,drama fantasy romance sci-fi,The Time Traveler's Wife
michael lehmann,colin ferguson,stephen collins,tom everett scott,comedy romance,Because I Said So
rob cohen,paul walker,vin diesel,jordana brewster,action crime thriller,The Fast and the Furious
tim burton,martin landau,catherine o'hara,atticus shaffer,animation comedy family horror sci-fi,Frankenweenie
joss whedon,adam baldwin,sean maher,michael hitchcock,action adventure sci-fi thriller,Serenity
charles s. dutton,omar epps,charles s. dutton,tim daly,biography drama romance sport,Against the Ropes
richard lester,margot kidder,robert vaughn,jackie cooper,action comedy sci-fi,Superman III
peter segal,robert de niro,sylvester stallone,oscar gale,comedy sport,Grudge Match
john woo,takeshi kaneshiro,tony chiu wai leung,wei zhao,action adventure drama history war,Red Cliff
andy tennant,ethan embry,mary lynn rajskub,courtney gains,comedy romance,Sweet Home Alabama
robert luketic,gerard butler,john michael higgins,eric winter,comedy romance,The Ugly Truth
jonathan lynn,austin pendleton,phil hartman,max casella,comedy,Sgt. Bilko
robert rodriguez,steve buscemi,alexa penavega,emily osment,action adventure comedy family sci-fi,Spy Kids 2: Island of Lost Dreams
david carson,levar burton,alan ruck,jonathan frakes,action adventure mystery sci-fi thriller,Star Trek: Generations
kar-wai wong,tony chiu wai leung,hye-kyo song,elvis tsui,action biography drama,The Grandmaster
francis lawrence,robert pattinson,christoph waltz,james frain,drama romance,Water for Elephants
unknown,joseph gordon-levitt,wayne knight,kristen johnston,comedy family sci-fi,3rd Rock from the Sun            
yuefeng song,blythe auffarth,bianca collins,jiao xu,adventure animation family fantasy,Dragon Nest: Warriors' Dawn
norman jewison,denzel washington,vincent pastore,deborah kara unger,biography drama sport,The Hurricane
michael apted,bill cobbs,jeff kober,billy campbell,crime drama thriller,Enough
david mirkin,sarah silverman,anne bancroft,jeffrey jones,comedy crime romance,Heartbreakers
andy fickman,d.b. woodside,daniella alonso,eduardo verástegui,action comedy crime,Paul Blart: Mall Cop 2
luis mandoki,sonia braga,shirley knight,kari matchett,drama romance,Angel Eyes
john pasquin,jim belushi,ken marino,kelly lynch,comedy drama,Joe Somebody
roman polanski,johnny depp,frank langella,lena olin,mystery thriller,The Ninth Gate
michael apted,j.k. simmons,paul guilfoyle,bill nunn,crime drama mystery thriller,Extreme Measures
stephen herek,beth grant,dagmara dominczyk,matthew glave,drama music,Rock Star
lee daniels,mo'nique,gabourey sidibe,mariah carey,drama,Precious
ridley scott,jeff bridges,jason marsden,ethan embry,adventure drama,White Squall
john carpenter,wilford brimley,richard masur,david clennon,horror mystery sci-fi,The Thing
david twohy,vin diesel,nolan gerard funk,bokeem woodbine,action sci-fi thriller,Riddick
jeb stuart,gregory scott cummins,claudia stedelin,ted markland,crime mystery thriller,Switchback
