director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combination
bobby farrelly,bill murray,kathleen turner,rob riggle,comedy,Dumb and Dumber To,bobby farrelly bill murray kathleen turnerrob rigglecomedy
frank marshall,paul walker,bruce greenwood,wendy crewson,adventure drama family,Eight Below,frank marshall paul walker bruce greenwoodwendy crewsonadventure drama family
nancy meyers,robert de niro,anne hathaway,rene russo,comedy drama,The Intern,nancy meyers robert de niro anne hathawayrene russocomedy drama
tim story,olivia munn,nadine velazquez,bruce mcgill,action comedy,Ride Along 2,tim story olivia munn nadine velazquezbruce mcgillaction comedy
michael mann,wes studi,terry kinney,eric schweig,action adventure drama romance war,The Last of the Mohicans,michael mann wes studi terry kinneyeric schweigaction adventure drama romance war
taylor hackford,bokeem woodbine,curtis armstrong,harry lennix,biography drama music,Ray,taylor hackford bokeem woodbine curtis armstrongharry lennixbiography drama music
frank miller,rosario dawson,powers boothe,jason douglas,crime thriller,Sin City,frank miller rosario dawson powers boothejason douglascrime thriller
pete travis,dennis quaid,edgar ramírez,william hurt,crime drama mystery thriller,Vantage Point,pete travis dennis quaid edgar ramírezwilliam hurtcrime drama mystery thriller
john hamburg,j.k. simmons,jon favreau,jane curtin,comedy romance,"I Love You, Man",john hamburg j.k. simmons jon favreaujane curtincomedy romance
bobby farrelly,jason alexander,bruce mcgill,susan ward,comedy drama fantasy romance,Shallow Hal,bobby farrelly jason alexander bruce mcgillsusan wardcomedy drama fantasy romance
oliver stone,sally kirkland,jay o. sanders,cheryl penland,drama history thriller,JFK,oliver stone sally kirkland jay o. sanderscheryl penlanddrama history thriller
john whitesell,chloë grace moretz,nia long,marisol nichols,comedy crime,Big Momma's House 2,john whitesell chloë grace moretz nia longmarisol nicholscomedy crime
gore verbinski,j.k. simmons,brad pitt,julia roberts,adventure comedy crime romance,The Mexican,gore verbinski j.k. simmons brad pittjulia robertsadventure comedy crime romance
angelina jolie pitt,finn wittrock,jack o'connell,alex russell,biography drama sport war,Unbroken,angelina jolie pitt finn wittrock jack o'connellalex russellbiography drama sport war
burr steers,matthew perry,hunter parrish,thomas lennon,comedy drama family fantasy romance,17 Again,burr steers matthew perry hunter parrishthomas lennoncomedy drama family fantasy romance
nick cassavetes,don johnson,kate upton,david thornton,comedy romance,The Other Woman,nick cassavetes don johnson kate uptondavid thorntoncomedy romance
david r. ellis,krista allen,andrew fiscella,shantel vansanten,horror,The Final Destination,david r. ellis krista allen andrew fiscellashantel vansantenhorror
steven spielberg,tom hanks,mark rylance,amy ryan,drama history thriller,Bridge of Spies,steven spielberg tom hanks mark rylanceamy ryandrama history thriller
john moore,joaquim de almeida,david keith,sam jaeger,action drama thriller war,Behind Enemy Lines,john moore joaquim de almeida david keithsam jaegeraction drama thriller war
nicholas stoller,pink,mario lopez,lino facioli,comedy music,Get Him to the Greek,nicholas stoller pink mario lopezlino faciolicomedy music
peter chelsom,lisa ann walter,nick cannon,omar benson miller,comedy drama romance,Shall We Dance,peter chelsom lisa ann walter nick cannonomar benson millercomedy drama romance
joe dante,kirsten dunst,denis leary,robert picardo,action adventure comedy family sci-fi,Small Soldiers,joe dante kirsten dunst denis learyrobert picardoaction adventure comedy family sci-fi
mark a.z. dippé,michael jai white,frank welker,miko hughes,action horror,Spawn,mark a.z. dippé michael jai white frank welkermiko hughesaction horror
kevin reynolds,henry cavill,james frain,michael wincott,action adventure drama romance thriller,The Count of Monte Cristo,kevin reynolds henry cavill james frainmichael wincottaction adventure drama romance thriller
brad furman,matthew mcconaughey,margarita levieva,frances fisher,crime drama thriller,The Lincoln Lawyer,brad furman matthew mcconaughey margarita levievafrances fishercrime drama thriller
christopher nolan,christian bale,hugh jackman,scarlett johansson,drama mystery sci-fi thriller,The Prestige,christopher nolan christian bale hugh jackmanscarlett johanssondrama mystery sci-fi thriller
sean anders,kevin spacey,christoph waltz,lindsay sloane,comedy crime,Horrible Bosses 2,sean anders kevin spacey christoph waltzlindsay sloanecomedy crime
cal brunker,brendan fraser,paul scheer,jonathan morgan heit,adventure animation comedy family sci-fi,Escape from Planet Earth,cal brunker brendan fraser paul scheerjonathan morgan heitadventure animation comedy family sci-fi
mel gibson,rudy youngblood,dalia hernández,jonathan brewer,action adventure drama thriller,Apocalypto,mel gibson rudy youngblood dalia hernándezjonathan breweraction adventure drama thriller
john glen,joe don baker,desmond llewelyn,art malik,action adventure thriller,The Living Daylights,john glen joe don baker desmond llewelynart malikaction adventure thriller
nimród antal,topher grace,alice braga,derek mears,action adventure sci-fi thriller,Predators,nimród antal topher grace alice bragaderek mearsaction adventure sci-fi thriller
ivan reitman,brian dennehy,debra winger,roscoe lee browne,comedy crime romance,Legal Eagles,ivan reitman brian dennehy debra wingerroscoe lee brownecomedy crime romance
david koepp,johnny depp,charles s. dutton,timothy hutton,mystery thriller,Secret Window,david koepp johnny depp charles s. duttontimothy huttonmystery thriller
alejandro agresti,keanu reeves,dylan walsh,ebon moss-bachrach,drama fantasy romance,The Lake House,alejandro agresti keanu reeves dylan walshebon moss-bachrachdrama fantasy romance
iain softley,gena rowlands,deneen tyler,joy bryant,horror mystery thriller,The Skeleton Key,iain softley gena rowlands deneen tylerjoy bryanthorror mystery thriller
peter hedges,jennifer garner,odeya rush,common,comedy drama family fantasy,The Odd Life of Timothy Green,peter hedges jennifer garner odeya rushcommoncomedy drama family fantasy
paul weiland,busy philipps,beau garrett,kevin sussman,comedy romance,Made of Honor,paul weiland busy philipps beau garrettkevin sussmancomedy romance
clint eastwood,johnny cannizzaro,steve schirripa,scott vance,biography drama music musical,Jersey Boys,clint eastwood johnny cannizzaro steve schirripascott vancebiography drama music musical
francis ford coppola,matt damon,dean stockwell,virginia madsen,crime drama thriller,The Rainmaker,francis ford coppola matt damon dean stockwellvirginia madsencrime drama thriller
mathieu kassovitz,robert downey jr.,charles s. dutton,bernard hill,horror mystery thriller,Gothika,mathieu kassovitz robert downey jr. charles s. duttonbernard hillhorror mystery thriller
steven spielberg,anthony hopkins,morgan freeman,matthew mcconaughey,drama history,Amistad,steven spielberg anthony hopkins morgan freemanmatthew mcconaugheydrama history
john mctiernan,lorraine bracco,josé wilker,sean connery,adventure drama romance,Medicine Man,john mctiernan lorraine bracco josé wilkersean conneryadventure drama romance
colin strause,sam trammell,johnny lewis,ian whyte,action horror sci-fi thriller,Aliens vs. Predator: Requiem,colin strause sam trammell johnny lewisian whyteaction horror sci-fi thriller
donald petrie,macaulay culkin,john larroquette,jonathan hyde,comedy family,Ri¢hie Ri¢h,donald petrie macaulay culkin john larroquettejonathan hydecomedy family
joan chen,j.k. simmons,sam trammell,elaine stritch,drama romance,Autumn in New York,joan chen j.k. simmons sam trammellelaine stritchdrama romance
marc lawrence,brad garrett,scott porter,haley bennett,comedy music romance,Music and Lyrics,marc lawrence brad garrett scott porterhaley bennettcomedy music romance
greg mottola,bobby lee,nelson ascencio,jeremy owen,adventure comedy sci-fi,Paul,greg mottola bobby lee nelson ascenciojeremy owenadventure comedy sci-fi
anne fletcher,miriam margolyes,tom virtue,julene renee,comedy drama,The Guilt Trip,anne fletcher miriam margolyes tom virtuejulene reneecomedy drama
wes craven,alison brie,aimee teegarden,shenae grimes-beech,horror mystery,Scream 4,wes craven alison brie aimee teegardenshenae grimes-beechhorror mystery
joel schumacher,nicolas cage,chris bauer,anthony heald,mystery thriller,8MM,joel schumacher nicolas cage chris baueranthony healdmystery thriller
oliver stone,michael wincott,kevin dillon,kathleen quinlan,biography drama music musical,The Doors,oliver stone michael wincott kevin dillonkathleen quinlanbiography drama music musical
jake kasdan,james wilcox,randall park,nat faxon,comedy,Sex Tape,jake kasdan james wilcox randall parknat faxoncomedy
diane keaton,adam arkin,celia weston,jesse james,comedy drama,Hanging Up,diane keaton adam arkin celia westonjesse jamescomedy drama
steven quale,emma bell,jacqueline macinnes wood,courtney b. vance,horror,Final Destination 5,steven quale emma bell jacqueline macinnes woodcourtney b. vancehorror
kelly makin,jeanne tripplehorn,burt young,vincent pastore,comedy crime romance,Mickey Blue Eyes,kelly makin jeanne tripplehorn burt youngvincent pastorecomedy crime romance
mimi leder,kevin spacey,haley joel osment,angie dickinson,drama,Pay It Forward,mimi leder kevin spacey haley joel osmentangie dickinsondrama
bobby farrelly,jimmy fallon,kadee strickland,ione skye,comedy drama romance sport,Fever Pitch,bobby farrelly jimmy fallon kadee stricklandione skyecomedy drama romance sport
unknown,bruce dinsmore,melissa altro,daniel brochu,animation comedy family,Arthur            ,unknown bruce dinsmore melissa altrodaniel brochuanimation comedy family
steven brill,lisa ann walter,shaun weiss,matt walsh,comedy drama,Drillbit Taylor,steven brill lisa ann walter shaun weissmatt walshcomedy drama
seth macfarlane,liam neeson,charlize theron,seth macfarlane,comedy western,A Million Ways to Die in the West,seth macfarlane liam neeson charlize theronseth macfarlanecomedy western
russell mulcahy,jonathan winters,peter boyle,john kapelos,action adventure crime fantasy mystery thriller,The Shadow,russell mulcahy jonathan winters peter boylejohn kapelosaction adventure crime fantasy mystery thriller
stephen daldry,tom hanks,thomas horn,stephen henderson,adventure drama mystery,Extremely Loud & Incredibly Close,stephen daldry tom hanks thomas hornstephen hendersonadventure drama mystery
roger michell,noah bean,patti d'arbanville,vanessa aspillaga,comedy drama romance,Morning Glory,roger michell noah bean patti d'arbanvillevanessa aspillagacomedy drama romance
jim sheridan,50 cent,bill duke,marc john jefferies,biography crime drama music,Get Rich or Die Tryin',jim sheridan 50 cent bill dukemarc john jefferiesbiography crime drama music
christian duguay,michael biehn,cary-hiroyuki tagawa,anne archer,action adventure crime thriller,The Art of War,christian duguay michael biehn cary-hiroyuki tagawaanne archeraction adventure crime thriller
chris columbus,rosario dawson,david fine,jesse l. martin,drama musical romance,Rent,chris columbus rosario dawson david finejesse l. martindrama musical romance
chuck russell,rufus sewell,jimmy smits,angela bettis,crime drama horror thriller,Bless the Child,chuck russell rufus sewell jimmy smitsangela bettiscrime drama horror thriller
sam weisman,oliver hudson,valerie perri,carlease burke,comedy,The Out-of-Towners,sam weisman oliver hudson valerie perricarlease burkecomedy
john frankenheimer,marlon brando,temuera morrison,marco hofschneider,horror sci-fi thriller,The Island of Dr. Moreau,john frankenheimer marlon brando temuera morrisonmarco hofschneiderhorror sci-fi thriller
peter hyams,catherine deneuve,justin chambers,stephen rea,action adventure romance,The Musketeer,peter hyams catherine deneuve justin chambersstephen reaaction adventure romance
justin chadwick,natalie portman,scarlett johansson,benedict cumberbatch,biography drama history romance,The Other Boleyn Girl,justin chadwick natalie portman scarlett johanssonbenedict cumberbatchbiography drama history romance
pat o'connor,keanu reeves,charlize theron,frank langella,drama romance,Sweet November,pat o'connor keanu reeves charlize theronfrank langelladrama romance
stephen hopkins,stephen rea,andrea frankle,william ragsdale,horror thriller,The Reaping,stephen hopkins stephen rea andrea franklewilliam ragsdalehorror thriller
martin scorsese,robert de niro,david carradine,david proval,crime drama romance thriller,Mean Streets,martin scorsese robert de niro david carradinedavid provalcrime drama romance thriller
penny marshall,ed begley jr.,cliff robertson,lillo brancato,comedy drama,Renaissance Man,penny marshall ed begley jr. cliff robertsonlillo brancatocomedy drama
olivier megaton,jordi mollà,callum blue,jesse borrego,action crime drama thriller,Colombiana,olivier megaton jordi mollà callum bluejesse borregoaction crime drama thriller
frederik du chau,gary oldman,jaleel white,eric idle,adventure animation comedy drama family fantasy musical,The Magic Sword: Quest for Camelot,frederik du chau gary oldman jaleel whiteeric idleadventure animation comedy drama family fantasy musical
michael caton-jones,robert de niro,james franco,john doman,crime drama mystery thriller,City by the Sea,michael caton-jones robert de niro james francojohn domancrime drama mystery thriller
irwin winkler,mira sorvino,nathan lane,steven weber,drama romance,At First Sight,irwin winkler mira sorvino nathan lanesteven weberdrama romance
joseph kahn,dane cook,jay hernandez,christina milian,action comedy crime,Torque,joseph kahn dane cook jay hernandezchristina milianaction comedy crime
harold becker,al pacino,martin landau,bridget fonda,drama thriller,City Hall,harold becker al pacino martin landaubridget fondadrama thriller
paul verhoeven,bobbie phillips,elizabeth berkley,robert davi,drama,Showgirls,paul verhoeven bobbie phillips elizabeth berkleyrobert davidrama
sofia coppola,kirsten dunst,shirley henderson,rip torn,biography drama history romance,Marie Antoinette,sofia coppola kirsten dunst shirley hendersonrip tornbiography drama history romance
barbet schroeder,nicolas cage,michael rapaport,philip baker hall,action crime thriller,Kiss of Death,barbet schroeder nicolas cage michael rapaportphilip baker hallaction crime thriller
stephen kay,sylvester stallone,miranda richardson,lauren lee smith,action crime drama thriller,Get Carter,stephen kay sylvester stallone miranda richardsonlauren lee smithaction crime drama thriller
j.a. bayona,naomi watts,geraldine chaplin,oaklee pendergast,drama thriller,The Impossible,j.a. bayona naomi watts geraldine chaplinoaklee pendergastdrama thriller
elaine may,carol kane,warren beatty,isabelle adjani,action adventure comedy music thriller,Ishtar,elaine may carol kane warren beattyisabelle adjaniaction adventure comedy music thriller
wes anderson,bill murray,meryl streep,helen mccrory,adventure animation comedy crime family,Fantastic Mr. Fox,wes anderson bill murray meryl streephelen mccroryadventure animation comedy crime family
stephen herek,angelina jolie pitt,stockard channing,james gammon,comedy romance,Life or Something Like It,stephen herek angelina jolie pitt stockard channingjames gammoncomedy romance
john carpenter,richard epcar,michael mckean,patricia heaton,comedy romance sci-fi thriller,Memoirs of an Invisible Man,john carpenter richard epcar michael mckeanpatricia heatoncomedy romance sci-fi thriller
jean-pierre jeunet,mathieu kassovitz,jamel debbouze,isabelle nanty,comedy romance,Amélie,jean-pierre jeunet mathieu kassovitz jamel debbouzeisabelle nantycomedy romance
dennie gordon,mary-kate olsen,bob saget,riley smith,comedy crime family romance,New York Minute,dennie gordon mary-kate olsen bob sagetriley smithcomedy crime family romance
charles shyer,omar epps,nia long,jane krakowski,comedy drama romance,Alfie,charles shyer omar epps nia longjane krakowskicomedy drama romance
ken kwapis,ted danson,tim blake nelson,andrew daly,biography drama romance,Big Miracle,ken kwapis ted danson tim blake nelsonandrew dalybiography drama romance
ulu grosbard,alexa penavega,treat williams,jonathan jackson,drama,The Deep End of the Ocean,ulu grosbard alexa penavega treat williamsjonathan jacksondrama
william malone,natascha mcelhone,jeffrey combs,udo kier,crime horror thriller,Feardotcom,william malone natascha mcelhone jeffrey combsudo kiercrime horror thriller
paul weitz,josh hutcherson,salma hayek,patrick fugit,action adventure fantasy thriller,Cirque du Freak: The Vampire's Assistant,paul weitz josh hutcherson salma hayekpatrick fugitaction adventure fantasy thriller
danny devito,justin theroux,amber valletta,harvey fierstein,comedy,Duplex,danny devito justin theroux amber vallettaharvey fiersteincomedy
malcolm d. lee,bernie mac,sean hayes,mike epps,comedy drama music,Soul Men,malcolm d. lee bernie mac sean hayesmike eppscomedy drama music
jerry jameson,m. emmet walsh,jason robards,anne archer,action adventure drama thriller,Raise the Titanic,jerry jameson m. emmet walsh jason robardsanne archeraction adventure drama thriller
mic rodgers,michael jai white,daniel von bargen,xander berkeley,action sci-fi,Universal Soldier: The Return,mic rodgers michael jai white daniel von bargenxander berkeleyaction sci-fi
christian alvart,norman reedus,dennis quaid,eddie rouse,action horror mystery sci-fi thriller,Pandorum,christian alvart norman reedus dennis quaideddie rouseaction horror mystery sci-fi thriller
gary fleder,gary dourdan,mekhi phifer,tim guinee,drama mystery sci-fi thriller,Impostor,gary fleder gary dourdan mekhi phifertim guineedrama mystery sci-fi thriller
christian duguay,rufus sewell,bridgette wilson-sampras,rupert graves,action adventure thriller,Extreme Ops,christian duguay rufus sewell bridgette wilson-samprasrupert gravesaction adventure thriller
jean-marie poiré,bridgette wilson-sampras,matt ross,john aylward,comedy fantasy sci-fi,Just Visiting,jean-marie poiré bridgette wilson-sampras matt rossjohn aylwardcomedy fantasy sci-fi
danny boyle,chris evans,benedict wong,troy garity,adventure sci-fi thriller,Sunshine,danny boyle chris evans benedict wongtroy garityadventure sci-fi thriller
brian robbins,john gatins,lou saliba,greg collins,comedy drama,A Thousand Words,brian robbins john gatins lou salibagreg collinscomedy drama
marc f. adler,eric idle,anne bancroft,kelly ripa,adventure animation comedy fantasy romance,Delgo,marc f. adler eric idle anne bancroftkelly ripaadventure animation comedy fantasy romance
pierre morel,ray winstone,mark rylance,jasmine trinca,action crime drama mystery thriller,The Gunman,pierre morel ray winstone mark rylancejasmine trincaaction crime drama mystery thriller
geoffrey sax,alex pettyfer,sophie okonedo,ashley walters,action adventure family thriller,Alex Rider: Operation Stormbreaker,geoffrey sax alex pettyfer sophie okonedoashley waltersaction adventure family thriller
iain softley,angelina jolie pitt,fisher stevens,lorraine bracco,comedy crime drama thriller,Hackers,iain softley angelina jolie pitt fisher stevenslorraine braccocomedy crime drama thriller
richard shepard,james brolin,zan marolt,ljubomir kerekes,adventure comedy drama romance thriller war,The Hunting Party,richard shepard james brolin zan maroltljubomir kerekesadventure comedy drama romance thriller war
joel coen,jennifer jason leigh,bill cobbs,john mahoney,comedy fantasy,The Hudsucker Proxy,joel coen jennifer jason leigh bill cobbsjohn mahoneycomedy fantasy
peter ho-sun chan,jet li,takeshi kaneshiro,andy lau,action drama history romance war,The Warlords,peter ho-sun chan jet li takeshi kaneshiroandy lauaction drama history romance war
sergey bodrov,jay hernandez,kuno becker,jason scott lee,drama history war,Nomad: The Warrior,sergey bodrov jay hernandez kuno beckerjason scott leedrama history war
joon-ho bong,chris evans,ewen bremner,kang-ho song,action drama sci-fi thriller,Snowpiercer,joon-ho bong chris evans ewen bremnerkang-ho songaction drama sci-fi thriller
bibo bergeron,adam goldberg,bob balaban,françois cluzet,adventure animation comedy fantasy music romance,A Monster in Paris,bibo bergeron adam goldberg bob balabanfrançois cluzetadventure animation comedy fantasy music romance
jeff nathanson,matthew broderick,glenn morshower,tim blake nelson,comedy,The Last Shot,jeff nathanson matthew broderick glenn morshowertim blake nelsoncomedy
alex proyas,michael wincott,bai ling,david patrick kelly,action drama fantasy,The Crow,alex proyas michael wincott bai lingdavid patrick kellyaction drama fantasy
s.s. rajamouli,tamannaah bhatia,anushka shetty,prabhas,action adventure drama fantasy war,Baahubali: The Beginning,s.s. rajamouli tamannaah bhatia anushka shettyprabhasaction adventure drama fantasy war
robert schwentke,arliss howard,brooklynn proulx,michelle nolden,drama fantasy romance sci-fi,The Time Traveler's Wife,robert schwentke arliss howard brooklynn proulxmichelle noldendrama fantasy romance sci-fi
michael lehmann,colin ferguson,stephen collins,tom everett scott,comedy romance,Because I Said So,michael lehmann colin ferguson stephen collinstom everett scottcomedy romance
rob cohen,paul walker,vin diesel,jordana brewster,action crime thriller,The Fast and the Furious,rob cohen paul walker vin dieseljordana brewsteraction crime thriller
tim burton,martin landau,catherine o'hara,atticus shaffer,animation comedy family horror sci-fi,Frankenweenie,tim burton martin landau catherine o'haraatticus shafferanimation comedy family horror sci-fi
joss whedon,adam baldwin,sean maher,michael hitchcock,action adventure sci-fi thriller,Serenity,joss whedon adam baldwin sean mahermichael hitchcockaction adventure sci-fi thriller
charles s. dutton,omar epps,charles s. dutton,tim daly,biography drama romance sport,Against the Ropes,charles s. dutton omar epps charles s. duttontim dalybiography drama romance sport
richard lester,margot kidder,robert vaughn,jackie cooper,action comedy sci-fi,Superman III,richard lester margot kidder robert vaughnjackie cooperaction comedy sci-fi
peter segal,robert de niro,sylvester stallone,oscar gale,comedy sport,Grudge Match,peter segal robert de niro sylvester stalloneoscar galecomedy sport
john woo,takeshi kaneshiro,tony chiu wai leung,wei zhao,action adventure drama history war,Red Cliff,john woo takeshi kaneshiro tony chiu wai leungwei zhaoaction adventure drama history war
andy tennant,ethan embry,mary lynn rajskub,courtney gains,comedy romance,Sweet Home Alabama,andy tennant ethan embry mary lynn rajskubcourtney gainscomedy romance
robert luketic,gerard butler,john michael higgins,eric winter,comedy romance,The Ugly Truth,robert luketic gerard butler john michael higginseric wintercomedy romance
jonathan lynn,austin pendleton,phil hartman,max casella,comedy,Sgt. Bilko,jonathan lynn austin pendleton phil hartmanmax casellacomedy
robert rodriguez,steve buscemi,alexa penavega,emily osment,action adventure comedy family sci-fi,Spy Kids 2: Island of Lost Dreams,robert rodriguez steve buscemi alexa penavegaemily osmentaction adventure comedy family sci-fi
david carson,levar burton,alan ruck,jonathan frakes,action adventure mystery sci-fi thriller,Star Trek: Generations,david carson levar burton alan ruckjonathan frakesaction adventure mystery sci-fi thriller
kar-wai wong,tony chiu wai leung,hye-kyo song,elvis tsui,action biography drama,The Grandmaster,kar-wai wong tony chiu wai leung hye-kyo songelvis tsuiaction biography drama
francis lawrence,robert pattinson,christoph waltz,james frain,drama romance,Water for Elephants,francis lawrence robert pattinson christoph waltzjames fraindrama romance
unknown,joseph gordon-levitt,wayne knight,kristen johnston,comedy family sci-fi,3rd Rock from the Sun            ,unknown joseph gordon-levitt wayne knightkristen johnstoncomedy family sci-fi
yuefeng song,blythe auffarth,bianca collins,jiao xu,adventure animation family fantasy,Dragon Nest: Warriors' Dawn,yuefeng song blythe auffarth bianca collinsjiao xuadventure animation family fantasy
norman jewison,denzel washington,vincent pastore,deborah kara unger,biography drama sport,The Hurricane,norman jewison denzel washington vincent pastoredeborah kara ungerbiography drama sport
michael apted,bill cobbs,jeff kober,billy campbell,crime drama thriller,Enough,michael apted bill cobbs jeff koberbilly campbellcrime drama thriller
david mirkin,sarah silverman,anne bancroft,jeffrey jones,comedy crime romance,Heartbreakers,david mirkin sarah silverman anne bancroftjeffrey jonescomedy crime romance
andy fickman,d.b. woodside,daniella alonso,eduardo verástegui,action comedy crime,Paul Blart: Mall Cop 2,andy fickman d.b. woodside daniella alonsoeduardo verásteguiaction comedy crime
luis mandoki,sonia braga,shirley knight,kari matchett,drama romance,Angel Eyes,luis mandoki sonia braga shirley knightkari matchettdrama romance
john pasquin,jim belushi,ken marino,kelly lynch,comedy drama,Joe Somebody,john pasquin jim belushi ken marinokelly lynchcomedy drama
roman polanski,johnny depp,frank langella,lena olin,mystery thriller,The Ninth Gate,roman polanski johnny depp frank langellalena olinmystery thriller
michael apted,j.k. simmons,paul guilfoyle,bill nunn,crime drama mystery thriller,Extreme Measures,michael apted j.k. simmons paul guilfoylebill nunncrime drama mystery thriller
stephen herek,beth grant,dagmara dominczyk,matthew glave,drama music,Rock Star,stephen herek beth grant dagmara dominczykmatthew glavedrama music
ridley scott,jeff bridges,jason marsden,ethan embry,adventure drama,White Squall,ridley scott jeff bridges jason marsdenethan embryadventure drama
john carpenter,wilford brimley,richard masur,david clennon,horror mystery sci-fi,The Thing,john carpenter wilford brimley richard masurdavid clennonhorror mystery sci-fi
david twohy,vin diesel,nolan gerard funk,bokeem woodbine,action sci-fi thriller,Riddick,david twohy vin diesel nolan gerard funkbokeem woodbineaction sci-fi thriller
jeb stuart,gregory scott cummins,claudia stedelin,ted markland,crime mystery thriller,Switchback,jeb stuart gregory scott cummins claudia stedelinted marklandcrime mystery thriller
steve miner,tom skerritt,usher raymond,leonor varela,action adventure drama thriller western,Texas Rangers,steve miner tom skerritt usher raymondleonor varelaaction adventure drama thriller western
gil kenan,bill murray,toby jones,harry treadaway,adventure family fantasy sci-fi,City of Ember,gil kenan bill murray toby jonesharry treadawayadventure family fantasy sci-fi
paul thomas anderson,mike howard,jeffrey w. jenkins,bruce goodchild,drama,The Master,paul thomas anderson mike howard jeffrey w. jenkinsbruce goodchilddrama
david leland,hayden christensen,ryan cartwright,david walliams,adventure comedy history romance,Virgin Territory,david leland hayden christensen ryan cartwrightdavid walliamsadventure comedy history romance
gary fleder,dennis quaid,nicole beharie,charles s. dutton,biography drama sport,The Express,gary fleder dennis quaid nicole behariecharles s. duttonbiography drama sport
j blakeson,chloë grace moretz,maggie siff,nick robinson,action adventure sci-fi thriller,The 5th Wave,j blakeson chloë grace moretz maggie siffnick robinsonaction adventure sci-fi thriller
ryan coogler,sylvester stallone,phylicia rashad,graham mctavish,drama sport,Creed,ryan coogler sylvester stallone phylicia rashadgraham mctavishdrama sport
ben affleck,jeremy renner,jon hamm,owen burke,crime drama thriller,The Town,ben affleck jeremy renner jon hammowen burkecrime drama thriller
kirk jones,anna kendrick,dennis quaid,thomas lennon,comedy drama romance,What to Expect When You're Expecting,kirk jones anna kendrick dennis quaidthomas lennoncomedy drama romance
ethan coen,j.k. simmons,brad pitt,kevin sussman,comedy drama,Burn After Reading,ethan coen j.k. simmons brad pittkevin sussmancomedy drama
jennifer flackett,gerard butler,anthony simcoe,christopher james baker,adventure comedy family fantasy,Nim's Island,jennifer flackett gerard butler anthony simcoechristopher james bakeradventure comedy family fantasy
ron howard,chris hemsworth,olivia wilde,alexandra maria lara,action biography drama sport,Rush,ron howard chris hemsworth olivia wildealexandra maria laraaction biography drama sport
paul thomas anderson,patton oswalt,neil flynn,jim meskimen,drama,Magnolia,paul thomas anderson patton oswalt neil flynnjim meskimendrama
kevin smith,bruce willis,tracy morgan,kevin pollak,action comedy crime,Cop Out,kevin smith bruce willis tracy morgankevin pollakaction comedy crime
christian ditter,alison brie,damon wayans jr.,nicholas braun,comedy romance,How to Be Single,christian ditter alison brie damon wayans jr.nicholas brauncomedy romance
charles martin smith,morgan freeman,michael roark,harry connick jr.,drama family,Dolphin Tale,charles martin smith morgan freeman michael roarkharry connick jr.drama family
nick cassavetes,denzel washington,laura harring,anne heche,crime drama thriller,John Q,nick cassavetes denzel washington laura harringanne hechecrime drama thriller
les mayfield,peter greene,dave chappelle,tamala jones,action comedy crime thriller,Blue Streak,les mayfield peter greene dave chappelletamala jonesaction comedy crime thriller
rawson marshall thurber,laura-leigh,molly c. quinn,thomas lennon,comedy crime,We're the Millers,rawson marshall thurber laura-leigh molly c. quinnthomas lennoncomedy crime
fedor bondarchuk,yuliya snigir,fedor bondarchuk,aleksey serebryakov,action adventure sci-fi,Obitaemyy ostrov,fedor bondarchuk yuliya snigir fedor bondarchukaleksey serebryakovaction adventure sci-fi
jonathan mostow,kathleen quinlan,m.c. gainey,j.t. walsh,action crime drama mystery thriller,Breakdown,jonathan mostow kathleen quinlan m.c. gaineyj.t. walshaction crime drama mystery thriller
irvin kershner,bernie casey,klaus maria brandauer,barbara carrera,action adventure thriller,Never Say Never Again,irvin kershner bernie casey klaus maria brandauerbarbara carreraaction adventure thriller
steve pink,charlie mcdermott,collette wolfe,crystal lowe,comedy sci-fi,Hot Tub Time Machine,steve pink charlie mcdermott collette wolfecrystal lowecomedy sci-fi
charles martin smith,morgan freeman,taylor blackwell,harry connick jr.,drama family,Dolphin Tale 2,charles martin smith morgan freeman taylor blackwellharry connick jr.drama family
john frankenheimer,charlize theron,james frain,clarence williams iii,action adventure crime drama family fantasy romance thriller,Reindeer Games,john frankenheimer charlize theron james frainclarence williams iiiaction adventure crime drama family fantasy romance thriller
f. gary gray,vin diesel,jeff kober,larenz tate,action crime drama thriller,A Man Apart,f. gary gray vin diesel jeff koberlarenz tateaction crime drama thriller
rob reiner,alexa penavega,virginia madsen,craig t. nelson,drama history,Ghosts of Mississippi,rob reiner alexa penavega virginia madsencraig t. nelsondrama history
scott hicks,rick yune,reeve carney,daniel von bargen,drama mystery romance thriller,Snow Falling on Cedars,scott hicks rick yune reeve carneydaniel von bargendrama mystery romance thriller
mikael håfström,anthony hopkins,colin o'donoghue,toby jones,drama horror mystery thriller,The Rite,mikael håfström anthony hopkins colin o'donoghuetoby jonesdrama horror mystery thriller
andrew niccol,blair underwood,xander berkeley,mason gamble,drama sci-fi thriller,Gattaca,andrew niccol blair underwood xander berkeleymason gambledrama sci-fi thriller
andrew bergman,stockard channing,nathan lane,john larroquette,biography comedy romance,Isn't She Great,andrew bergman stockard channing nathan lanejohn larroquettebiography comedy romance
kirk de micco,cheryl hines,kenan thompson,omid abtahi,adventure animation comedy family sci-fi,Space Chimps,kirk de micco cheryl hines kenan thompsonomid abtahiadventure animation comedy family sci-fi
