director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combination
neil burger,kate winslet,theo james,mekhi phifer,adventure mystery sci-fi,divergent,neil burger kate winslet theo jamesmekhi phiferadventure mystery sci-fi
jean-jacques annaud,bob hoskins,gabriel thomson,clemens schick,drama history war,enemy at the gates,jean-jacques annaud bob hoskins gabriel thomsonclemens schickdrama history war
peter berg,dwayne johnson,rosario dawson,ewen bremner,action adventure comedy thriller,the rundown,peter berg dwayne johnson rosario dawsonewen bremneraction adventure comedy thriller
john mctiernan,f. murray abraham,tom noonan,joan plowright,action adventure comedy fantasy,last action hero,john mctiernan f. murray abraham tom noonanjoan plowrightaction adventure comedy fantasy
rob marshall,li gong,mako,karl yune,drama romance,memoirs of a geisha,rob marshall li gong makokarl yunedrama romance
justin lin,amber stevens west,zachery ty bryan,nikki griffin,action crime thriller,the fast and the furious: tokyo drift,justin lin amber stevens west zachery ty bryannikki griffinaction crime thriller
sarah smith,jim broadbent,imelda staunton,michael palin,adventure animation comedy family fantasy,arthur christmas,sarah smith jim broadbent imelda stauntonmichael palinadventure animation comedy family fantasy
martin brest,anthony hopkins,brad pitt,jake weber,drama fantasy romance,meet joe black,martin brest anthony hopkins brad pittjake weberdrama fantasy romance
andrew davis,raymond cruz,rick worthy,jsu garcia,action drama thriller,collateral damage,andrew davis raymond cruz rick worthyjsu garciaaction drama thriller
bob fosse,roy scheider,ben vereen,max wright,comedy drama music musical,all that jazz,bob fosse roy scheider ben vereenmax wrightcomedy drama music musical
tarsem singh,julia roberts,nathan lane,danny woodburn,adventure comedy drama family fantasy,mirror mirror,tarsem singh julia roberts nathan lanedanny woodburnadventure comedy drama family fantasy
edgar wright,anna kendrick,kieran culkin,ellen wong,action comedy fantasy romance,scott pilgrim vs. the world,edgar wright anna kendrick kieran culkinellen wongaction comedy fantasy romance
jon amiel,glenn morshower,tchéky karyo,rekha sharma,action adventure sci-fi thriller,the core,jon amiel glenn morshower tchéky karyorekha sharmaaction adventure sci-fi thriller
peter segal,larry miller,janet jackson,chris elliott,comedy romance sci-fi,nutty professor ii: the klumps,peter segal larry miller janet jacksonchris elliottcomedy romance sci-fi
raja gosnell,sarah michelle gellar,linda cardellini,miguel a. núñez jr.,adventure comedy mystery,scooby-doo,raja gosnell sarah michelle gellar linda cardellinimiguel a. núñez jr.adventure comedy mystery
frank coraci,adam sandler,cameron monaghan,julie kavner,comedy drama fantasy romance,click,frank coraci adam sandler cameron monaghanjulie kavnercomedy drama fantasy romance
brad peyton,jack mcbrayer,sean hayes,katt williams,action comedy family fantasy,cats & dogs: the revenge of kitty galore,brad peyton jack mcbrayer sean hayeskatt williamsaction comedy family fantasy
doug liman,kristen stewart,hayden christensen,tom hulce,action adventure sci-fi thriller,jumper,doug liman kristen stewart hayden christensentom hulceaction adventure sci-fi thriller
guillermo del toro,seth macfarlane,iván kamarás,brian steele,action adventure fantasy horror sci-fi,hellboy ii: the golden army,guillermo del toro seth macfarlane iván kamarásbrian steeleaction adventure fantasy horror sci-fi
david fincher,robert downey jr.,jake gyllenhaal,anthony edwards,crime drama history mystery thriller,zodiac,david fincher robert downey jr. jake gyllenhaalanthony edwardscrime drama history mystery thriller
roger spottiswoode,robert duvall,michael rapaport,tony goldwyn,action mystery sci-fi thriller,the 6th day,roger spottiswoode robert duvall michael rapaporttony goldwynaction mystery sci-fi thriller
tom shadyac,morgan freeman,steve carell,lisa ann walter,comedy drama,bruce almighty,tom shadyac morgan freeman steve carelllisa ann waltercomedy drama
sylvester stallone,jason statham,sylvester stallone,jet li,action adventure thriller,the expendables,sylvester stallone jason statham sylvester stallonejet liaction adventure thriller
brian de palma,tom cruise,kristin scott thomas,vanessa redgrave,action adventure thriller,mission: impossible,brian de palma tom cruise kristin scott thomasvanessa redgraveaction adventure thriller
gary ross,jennifer lawrence,josh hutcherson,anthony reynolds,adventure drama sci-fi thriller,the hunger games,gary ross jennifer lawrence josh hutchersonanthony reynoldsadventure drama sci-fi thriller
todd phillips,bradley cooper,mason lee,mike tyson,comedy,the hangover part ii,todd phillips bradley cooper mason leemike tysoncomedy
tim burton,michael gough,vincent schiavelli,andrew bryniarski,action,batman returns,tim burton michael gough vincent schiavelliandrew bryniarskiaction
tim johnson,bruce willis,steve carell,catherine o'hara,adventure animation comedy family,over the hedge,tim johnson bruce willis steve carellcatherine o'haraadventure animation comedy family
dean deblois,tia carrere,jason scott lee,david ogden stiers,adventure animation comedy drama family fantasy sci-fi,lilo & stitch,dean deblois tia carrere jason scott leedavid ogden stiersadventure animation comedy drama family fantasy sci-fi
gary winick,steve buscemi,julia roberts,oprah winfrey,comedy family fantasy,charlotte's web,gary winick steve buscemi julia robertsoprah winfreycomedy family fantasy
mimi leder,morgan freeman,jon favreau,robert duvall,action drama romance sci-fi thriller,deep impact,mimi leder morgan freeman jon favreaurobert duvallaction drama romance sci-fi thriller
dean parisot,bruce willis,anthony hopkins,garrick hagon,action comedy crime thriller,red 2,dean parisot bruce willis anthony hopkinsgarrick hagonaction comedy crime thriller
peter segal,adam sandler,steve reevis,dalip singh,comedy crime sport,the longest yard,peter segal adam sandler steve reevisdalip singhcomedy crime sport
mike mitchell,amy poehler,jesse mccartney,lauren gottlieb,adventure animation comedy family fantasy music,alvin and the chipmunks: chipwrecked,mike mitchell amy poehler jesse mccartneylauren gottliebadventure animation comedy family fantasy music
dennis dugan,steve buscemi,adam sandler,jon lovitz,comedy,grown ups 2,dennis dugan steve buscemi adam sandlerjon lovitzcomedy
peter segal,bill murray,dwayne johnson,anne hathaway,action adventure comedy,get smart,peter segal bill murray dwayne johnsonanne hathawayaction adventure comedy
nancy meyers,keanu reeves,jon favreau,paul michael glaser,comedy drama romance,something's gotta give,nancy meyers keanu reeves jon favreaupaul michael glasercomedy drama romance
martin scorsese,leonardo dicaprio,joseph sikora,nellie sciutto,mystery thriller,shutter island,martin scorsese leonardo dicaprio joseph sikoranellie sciuttomystery thriller
seth gordon,jon favreau,robert duvall,katy mixon,comedy drama romance,four christmases,seth gordon jon favreau robert duvallkaty mixoncomedy drama romance
chris wedge,jim broadbent,drew carey,paula abdul,adventure animation comedy family sci-fi,robots,chris wedge jim broadbent drew careypaula abduladventure animation comedy family sci-fi
john woo,nicolas cage,cch pounder,joan allen,action crime sci-fi thriller,face/off,john woo nicolas cage cch pounderjoan allenaction crime sci-fi thriller
adam shankman,adam sandler,carmen electra,kathryn joosten,comedy family fantasy romance,bedtime stories,adam shankman adam sandler carmen electrakathryn joostencomedy family fantasy romance
sam mendes,tom hanks,jennifer jason leigh,liam aiken,crime drama thriller,road to perdition,sam mendes tom hanks jennifer jason leighliam aikencrime drama thriller
dennis dugan,adam sandler,bailee madison,kevin nealon,comedy romance,just go with it,dennis dugan adam sandler bailee madisonkevin nealoncomedy romance
unknown,elden henson,royce johnson,charlie cox,action adventure crime drama sci-fi thriller,daredevil            ,unknown elden henson royce johnsoncharlie coxaction adventure crime drama sci-fi thriller
simon west,steve buscemi,monica potter,dave chappelle,action crime thriller,con air,simon west steve buscemi monica potterdave chappelleaction crime thriller
d.j. caruso,rosario dawson,ethan embry,cameron boyce,action mystery thriller,eagle eye,d.j. caruso rosario dawson ethan embrycameron boyceaction mystery thriller
anthony minghella,philip seymour hoffman,natalie portman,charlie hunnam,adventure drama history romance war,cold mountain,anthony minghella philip seymour hoffman natalie portmancharlie hunnamadventure drama history romance war
albert hughes,denzel washington,mila kunis,gary oldman,action adventure drama thriller,the book of eli,albert hughes denzel washington mila kunisgary oldmanaction adventure drama thriller
les mayfield,robin williams,jodi benson,sam lloyd,comedy family sci-fi,flubber,les mayfield robin williams jodi bensonsam lloydcomedy family sci-fi
jan de bont,liam neeson,lili taylor,virginia madsen,fantasy horror mystery thriller,the haunting,jan de bont liam neeson lili taylorvirginia madsenfantasy horror mystery thriller
joe pytka,bill murray,wayne knight,michael jordan,adventure animation comedy family fantasy sci-fi sport,space jam,joe pytka bill murray wayne knightmichael jordanadventure animation comedy family fantasy sci-fi sport
shawn levy,roger rees,henry czerny,william abadie,adventure comedy crime family mystery,the pink panther,shawn levy roger rees henry czernywilliam abadieadventure comedy crime family mystery
richard donner,julia roberts,alex mcarthur,michael potts,action crime mystery romance thriller,conspiracy theory,richard donner julia roberts alex mcarthurmichael pottsaction crime mystery romance thriller
david ayer,brad pitt,logan lerman,jim parrack,action drama war,fury,david ayer brad pitt logan lermanjim parrackaction drama war
ivan reitman,harrison ford,anne heche,amy sedaris,action adventure comedy romance,six days seven nights,ivan reitman harrison ford anne hecheamy sedarisaction adventure comedy romance
eric brevig,justin timberlake,tom cavanagh,josh robert thompson,adventure animation comedy family,yogi bear,eric brevig justin timberlake tom cavanaghjosh robert thompsonadventure animation comedy family
kelly asbury,matt damon,charles napier,zahn mcclarnon,adventure animation family western,spirit: stallion of the cimarron,kelly asbury matt damon charles napierzahn mcclarnonadventure animation family western
frank coraci,rosario dawson,leslie bibb,nicholas turturro,comedy family romance,zookeeper,frank coraci rosario dawson leslie bibbnicholas turturrocomedy family romance
stephen hopkins,gary oldman,william hurt,june lockhart,action adventure family sci-fi thriller,lost in space,stephen hopkins gary oldman william hurtjune lockhartaction adventure family sci-fi thriller
jonathan demme,denzel washington,dorian missick,jose pablo cantillo,drama mystery sci-fi thriller,the manchurian candidate,jonathan demme denzel washington dorian missickjose pablo cantillodrama mystery sci-fi thriller
henry jaglom,vanessa redgrave,stephen dillane,michael brandon,drama romance,déjà vu,henry jaglom vanessa redgrave stephen dillanemichael brandondrama romance
genndy tartakovsky,steve buscemi,adam sandler,fran drescher,animation comedy family fantasy,hotel transylvania 2,genndy tartakovsky steve buscemi adam sandlerfran drescheranimation comedy family fantasy
unknown,elizabeth montgomery,agnes moorehead,dick york,comedy family fantasy,bewitched            ,unknown elizabeth montgomery agnes mooreheaddick yorkcomedy family fantasy
james algar,quincy jones,penn jillette,russi taylor,animation family fantasy music,fantasia 2000,james algar quincy jones penn jilletterussi tayloranimation family fantasy music
simon wells,mark addy,alan young,josh stamberg,action adventure sci-fi,the time machine,simon wells mark addy alan youngjosh stambergaction adventure sci-fi
ron underwood,charlize theron,mika boorem,david paymer,action adventure family fantasy thriller,mighty joe young,ron underwood charlize theron mika booremdavid paymeraction adventure family fantasy thriller
dominic sena,hugh jackman,don cheadle,sam shepard,action crime thriller,swordfish,dominic sena hugh jackman don cheadlesam shepardaction crime thriller
martin campbell,michael emerson,nick chinlund,adrian alonso,action adventure western,the legend of zorro,martin campbell michael emerson nick chinlundadrian alonsoaction adventure western
vincent ward,robin williams,annabella sciorra,rosalind chao,drama fantasy romance,what dreams may come,vincent ward robin williams annabella sciorrarosalind chaodrama fantasy romance
steven brill,adam sandler,jon lovitz,michael mckean,comedy fantasy,little nicky,steven brill adam sandler jon lovitzmichael mckeancomedy fantasy
terry gilliam,matt damon,heath ledger,mackenzie crook,action adventure comedy fantasy thriller,the brothers grimm,terry gilliam matt damon heath ledgermackenzie crookaction adventure comedy fantasy thriller
tim burton,natalie portman,martin short,lukas haas,action comedy sci-fi,mars attacks!,tim burton natalie portman martin shortlukas haasaction comedy sci-fi
lucile hadzihalilovic,nissim renard,roxane duran,julie-marie parmentier,drama horror mystery sci-fi,evolution,lucile hadzihalilovic nissim renard roxane duranjulie-marie parmentierdrama horror mystery sci-fi
lee tamahori,anthony hopkins,harold perrineau,bart the bear,action adventure drama thriller,the edge,lee tamahori anthony hopkins harold perrineaubart the bearaction adventure drama thriller
jonathan mostow,bruce willis,devin ratray,boris kodjoe,action sci-fi thriller,surrogates,jonathan mostow bruce willis devin ratrayboris kodjoeaction sci-fi thriller
roger donaldson,bruce greenwood,jon foster,bruce thomas,drama history thriller,thirteen days,roger donaldson bruce greenwood jon fosterbruce thomasdrama history thriller
rob cohen,sylvester stallone,viggo mortensen,amy brenneman,action adventure drama thriller,daylight,rob cohen sylvester stallone viggo mortensenamy brennemanaction adventure drama thriller
barry cook,charlie rowe,tiya sircar,madison rothschild,adventure animation family,walking with dinosaurs 3d,barry cook charlie rowe tiya sircarmadison rothschildadventure animation family
roger christian,richard tyson,michael byrne,john topor,action adventure sci-fi,battlefield earth,roger christian richard tyson michael byrnejohn toporaction adventure sci-fi
joe dante,brendan fraser,jenna elfman,heather locklear,adventure animation comedy family fantasy sci-fi,looney tunes: back in action,joe dante brendan fraser jenna elfmanheather locklearadventure animation comedy family fantasy sci-fi
rob marshall,fergie,elio germano,andrea di stefano,drama musical romance,nine,rob marshall fergie elio germanoandrea di stefanodrama musical romance
richard donner,paul walker,gerard butler,ethan embry,action adventure sci-fi,timeline,richard donner paul walker gerard butlerethan embryaction adventure sci-fi
kevin costner,olivia williams,brian anthony wilson,larenz tate,action adventure drama sci-fi,the postman,kevin costner olivia williams brian anthony wilsonlarenz tateaction adventure drama sci-fi
george miller,adam goldberg,elizabeth daily,glenne headly,adventure comedy drama family fantasy,babe: pig in the city,george miller adam goldberg elizabeth dailyglenne headlyadventure comedy drama family fantasy
breck eisner,vin diesel,joseph gilgun,lotte verbeek,action adventure fantasy,the last witch hunter,breck eisner vin diesel joseph gilgunlotte verbeekaction adventure fantasy
antony hoffman,bob neill,val kilmer,tom sizemore,action sci-fi thriller,red planet,antony hoffman bob neill val kilmertom sizemoreaction sci-fi thriller
luc besson,mia farrow,adam lefevre,penny balfour,adventure animation family fantasy,arthur and the invisibles,luc besson mia farrow adam lefevrepenny balfouradventure animation family fantasy
jacques perrin,pedro armendáriz jr.,jacques perrin,rie miyazawa,documentary drama,oceans,jacques perrin pedro armendáriz jr. jacques perrinrie miyazawadocumentary drama
peter hyams,david oyelowo,catherine mccormack,jemima rooper,action adventure horror sci-fi thriller,a sound of thunder,peter hyams david oyelowo catherine mccormackjemima rooperaction adventure horror sci-fi thriller
paul w.s. anderson,sasha roiz,currie graham,dylan schombing,action adventure drama history romance,pompeii,paul w.s. anderson sasha roiz currie grahamdylan schombingaction adventure drama history romance
andrés couturier,sariann monaco,david hoffman,ben diskin,animation family,top cat begins,andrés couturier sariann monaco david hoffmanben diskinanimation family
ron howard,adam goldberg,austin pendleton,judd hirsch,biography drama,a beautiful mind,ron howard adam goldberg austin pendletonjudd hirschbiography drama
roger allers,matthew broderick,nathan lane,niketa calame,adventure animation drama family musical,the lion king,roger allers matthew broderick nathan laneniketa calameadventure animation drama family musical
brad peyton,josh hutcherson,dwayne johnson,kristin davis,action adventure comedy family fantasy sci-fi,journey 2: the mysterious island,brad peyton josh hutcherson dwayne johnsonkristin davisaction adventure comedy family fantasy sci-fi
cody cameron,will forte,khamani griffin,melissa sturm,animation comedy family fantasy sci-fi,cloudy with a chance of meatballs 2,cody cameron will forte khamani griffinmelissa sturmanimation comedy family fantasy sci-fi
brett ratner,philip seymour hoffman,anthony hopkins,emily watson,crime drama thriller,red dragon,brett ratner philip seymour hoffman anthony hopkinsemily watsoncrime drama thriller
joe johnston,j.k. simmons,viggo mortensen,peter mensah,action adventure western,hidalgo,joe johnston j.k. simmons viggo mortensenpeter mensahaction adventure western
dennis dugan,al pacino,adam sandler,tim meadows,comedy,jack and jill,dennis dugan al pacino adam sandlertim meadowscomedy
john singleton,paul walker,cole hauser,mo gallini,action crime thriller,2 fast 2 furious,john singleton paul walker cole hausermo galliniaction crime thriller
mark osborne,jeff bridges,james franco,mackenzie foy,adventure animation drama family fantasy,the little prince,mark osborne jeff bridges james francomackenzie foyadventure animation drama family fantasy
oliver hirschbiegel,roger rees,veronica cartwright,jeremy northam,sci-fi thriller,the invasion,oliver hirschbiegel roger rees veronica cartwrightjeremy northamsci-fi thriller
des mcanuff,robert de niro,janeane garofalo,jonathan winters,adventure animation comedy family fantasy,the adventures of rocky & bullwinkle,des mcanuff robert de niro janeane garofalojonathan wintersadventure animation comedy family fantasy
yarrow cheney,steve coogan,eric stonestreet,albert brooks,animation comedy family,the secret life of pets,yarrow cheney steve coogan eric stonestreetalbert brooksanimation comedy family
stephen norrington,jason flemyng,max ryan,tony curran,action adventure fantasy sci-fi,the league of extraordinary gentlemen,stephen norrington jason flemyng max ryantony curranaction adventure fantasy sci-fi
pierre coffin,steve carell,miranda cosgrove,steve coogan,animation comedy family sci-fi,despicable me 2,pierre coffin steve carell miranda cosgrovesteve coogananimation comedy family sci-fi
roland emmerich,will smith,adam baldwin,mary mcdonnell,action adventure sci-fi,independence day,roland emmerich will smith adam baldwinmary mcdonnellaction adventure sci-fi
steven spielberg,ariana richards,richard schiff,vanessa lee chester,action adventure sci-fi,the lost world: jurassic park,steven spielberg ariana richards richard schiffvanessa lee chesteraction adventure sci-fi
eric darnell,jada pinkett smith,cedric the entertainer,andy richter,adventure animation comedy family,madagascar,eric darnell jada pinkett smith cedric the entertainerandy richteradventure animation comedy family
alfonso cuarón,charlie hunnam,danny huston,rita davies,drama sci-fi thriller,children of men,alfonso cuarón charlie hunnam danny hustonrita daviesdrama sci-fi thriller
bryan singer,hugh jackman,tyler mane,bruce davison,action adventure sci-fi,x-men,bryan singer hugh jackman tyler manebruce davisonaction adventure sci-fi
timur bekmambetov,angelina jolie pitt,morgan freeman,common,action crime fantasy thriller,wanted,timur bekmambetov angelina jolie pitt morgan freemancommonaction crime fantasy thriller
michael bay,nicolas cage,michael biehn,bokeem woodbine,action adventure thriller,the rock,michael bay nicolas cage michael biehnbokeem woodbineaction adventure thriller
carlos saldanha,denis leary,ray romano,jay leno,action adventure animation comedy family fantasy,ice age: the meltdown,carlos saldanha denis leary ray romanojay lenoaction adventure animation comedy family fantasy
peter segal,adam sandler,peter dante,allen covert,comedy romance,50 first dates,peter segal adam sandler peter danteallen covertcomedy romance
adam shankman,jerry stiller,elijah kelley,paul dooley,comedy drama family music musical romance,hairspray,adam shankman jerry stiller elijah kelleypaul dooleycomedy drama family music musical romance
renny harlin,james d'arcy,alan ford,izabella scorupco,horror mystery thriller,exorcist: the beginning,renny harlin james d'arcy alan fordizabella scorupcohorror mystery thriller
david kellogg,matthew broderick,rene auberjonois,rupert everett,action adventure comedy family sci-fi,inspector gadget,david kellogg matthew broderick rene auberjonoisrupert everettaction adventure comedy family sci-fi
louis leterrier,morgan freeman,common,michael kelly,crime mystery thriller,now you see me,louis leterrier morgan freeman commonmichael kellycrime mystery thriller
dennis dugan,steve buscemi,adam sandler,salma hayek,comedy,grown ups,dennis dugan steve buscemi adam sandlersalma hayekcomedy
steven spielberg,tom hanks,chi mcbride,barry shabaka henley,comedy drama,the terminal,steven spielberg tom hanks chi mcbridebarry shabaka henleycomedy drama
unknown,harold perrineau,matt ryan,charles halford,drama fantasy horror thriller,constantine            ,unknown harold perrineau matt ryancharles halforddrama fantasy horror thriller
thor freudenthal,don cheadle,kevin dillon,yvette nicole brown,comedy family,hotel for dogs,thor freudenthal don cheadle kevin dillonyvette nicole browncomedy family
martin campbell,nicholas lea,scott glenn,ben mendelsohn,action adventure drama thriller,vertical limit,martin campbell nicholas lea scott glennben mendelsohnaction adventure drama thriller
mike nichols,philip seymour hoffman,tom hanks,jud tylor,biography comedy drama history,charlie wilson's war,mike nichols philip seymour hoffman tom hanksjud tylorbiography comedy drama history
bibo bergeron,robert de niro,martin scorsese,angelina jolie pitt,adventure animation comedy family,shark tale,bibo bergeron robert de niro martin scorseseangelina jolie pittadventure animation comedy family
bill condon,loretta devine,jennifer hudson,anika noni rose,drama music musical,dreamgirls,bill condon loretta devine jennifer hudsonanika noni rosedrama music musical
unknown,adam arkin,brent sexton,damian lewis,crime drama mystery,life            ,unknown adam arkin brent sextondamian lewiscrime drama mystery
f. gary gray,dwayne johnson,christina milian,debi mazar,comedy crime music,be cool,f. gary gray dwayne johnson christina miliandebi mazarcomedy crime music
steven spielberg,ayelet zurer,moritz bleibtreu,mathieu amalric,drama history thriller,munich,steven spielberg ayelet zurer moritz bleibtreumathieu amalricdrama history thriller
antoine fuqua,bruce willis,tom skerritt,cole hauser,action drama thriller war,tears of the sun,antoine fuqua bruce willis tom skerrittcole hauseraction drama thriller war
robert luketic,tom selleck,lisa ann walter,catherine o'hara,action comedy romance thriller,killers,robert luketic tom selleck lisa ann waltercatherine o'haraaction comedy romance thriller
guy ritchie,henry cavill,elizabeth debicki,christian berkel,action adventure comedy,the man from u.n.c.l.e.,guy ritchie henry cavill elizabeth debickichristian berkelaction adventure comedy
james l. brooks,adam sandler,paz vega,sarah steele,comedy drama romance,spanglish,james l. brooks adam sandler paz vegasarah steelecomedy drama romance
gil kenan,steve buscemi,jon heder,catherine o'hara,animation comedy family fantasy mystery,monster house,gil kenan steve buscemi jon hedercatherine o'haraanimation comedy family fantasy mystery
barry levinson,bruce willis,brían f. o'byrne,azura skye,comedy crime drama romance,bandits,barry levinson bruce willis brían f. o'byrneazura skyecomedy crime drama romance
jerry zucker,julia ormond,ben cross,john gielgud,action adventure romance thriller,first knight,jerry zucker julia ormond ben crossjohn gielgudaction adventure romance thriller
andy tennant,bai ling,geoffrey palmer,randall duk kim,drama history romance,anna and the king,andy tennant bai ling geoffrey palmerrandall duk kimdrama history romance
tarsem singh,henry cavill,daniel sharman,steve byers,action drama fantasy romance,immortals,tarsem singh henry cavill daniel sharmansteve byersaction drama fantasy romance
florent-emilio siri,jimmy bennett,bruce willis,ransford doherty,action crime drama mystery thriller,hostage,florent-emilio siri jimmy bennett bruce willisransford dohertyaction crime drama mystery thriller
don bluth,matt damon,janeane garofalo,nathan lane,action adventure animation family sci-fi,titan a.e.,don bluth matt damon janeane garofalonathan laneaction adventure animation family sci-fi
ron shelton,harrison ford,bruce greenwood,lena olin,action comedy crime thriller,hollywood homicide,ron shelton harrison ford bruce greenwoodlena olinaction comedy crime thriller
paul w.s. anderson,connie nielsen,sean pertwee,jason scott lee,action drama sci-fi,soldier,paul w.s. anderson connie nielsen sean pertweejason scott leeaction drama sci-fi
david pastor,christopher meloni,kiernan shipka,lou taylor pucci,drama horror sci-fi thriller,carriers,david pastor christopher meloni kiernan shipkalou taylor puccidrama horror sci-fi thriller
henry selick,brendan fraser,bridget fonda,megan mullally,animation comedy fantasy,monkeybone,henry selick brendan fraser bridget fondamegan mullallyanimation comedy fantasy
john moore,dennis quaid,tony curran,miranda otto,action adventure drama thriller,flight of the phoenix,john moore dennis quaid tony curranmiranda ottoaction adventure drama thriller
m. night shyamalan,robin wright,bruce willis,michael kelly,drama mystery sci-fi thriller,unbreakable,m. night shyamalan robin wright bruce willismichael kellydrama mystery sci-fi thriller
kyle balda,steve carell,jon hamm,steve coogan,action animation comedy family sci-fi,minions,kyle balda steve carell jon hammsteve cooganaction animation comedy family sci-fi
zack snyder,jon hamm,abbie cornish,scott glenn,action fantasy,sucker punch,zack snyder jon hamm abbie cornishscott glennaction fantasy
brian de palma,nicolas cage,mike starr,john heard,crime mystery thriller,snake eyes,brian de palma nicolas cage mike starrjohn heardcrime mystery thriller
barry levinson,peter coyote,james pickens jr.,huey lewis,drama mystery sci-fi thriller,sphere,barry levinson peter coyote james pickens jr.huey lewisdrama mystery sci-fi thriller
clay kaytis,peter dinklage,josh gad,keegan-michael key,action animation comedy family,the angry birds movie,clay kaytis peter dinklage josh gadkeegan-michael keyaction animation comedy family
andy tennant,matthew mcconaughey,ray winstone,alexis dziena,action adventure comedy romance thriller,fool's gold,andy tennant matthew mcconaughey ray winstonealexis dzienaaction adventure comedy romance thriller
judd apatow,adam sandler,rza,maude apatow,comedy drama,funny people,judd apatow adam sandler rzamaude apatowcomedy drama
peter berg,jennifer garner,frances fisher,tim mcgraw,action drama thriller,the kingdom,peter berg jennifer garner frances fishertim mcgrawaction drama thriller
adam mckay,will ferrell,leslie bibb,gary cole,action comedy sport,talladega nights: the ballad of ricky bobby,adam mckay will ferrell leslie bibbgary coleaction comedy sport
steve carr,raven-symoné,jeffrey jones,kevin pollak,comedy family fantasy,dr. dolittle 2,steve carr raven-symoné jeffrey joneskevin pollakcomedy family fantasy
mel gibson,mhairi calvey,patrick mcgoohan,james robinson,biography drama history war,braveheart,mel gibson mhairi calvey patrick mcgoohanjames robinsonbiography drama history war
sam mendes,jake gyllenhaal,brian geraghty,james morrison,action drama war,jarhead,sam mendes jake gyllenhaal brian geraghtyjames morrisonaction drama war
david silverman,albert brooks,yeardley smith,marcia wallace,adventure animation comedy,the simpsons movie,david silverman albert brooks yeardley smithmarcia wallaceadventure animation comedy
frank darabont,martin landau,hal holbrook,jeffrey demunn,drama romance,the majestic,frank darabont martin landau hal holbrookjeffrey demunndrama romance
renny harlin,sylvester stallone,estella warren,cristián de la fuente,action drama sport,driven,renny harlin sylvester stallone estella warrencristián de la fuenteaction drama sport
jean-jacques annaud,david gant,jean-claude dreyfus,oanh nguyen,adventure drama family,two brothers,jean-jacques annaud david gant jean-claude dreyfusoanh nguyenadventure drama family
m. night shyamalan,bryce dallas howard,judy greer,william hurt,drama mystery romance thriller,the village,m. night shyamalan bryce dallas howard judy greerwilliam hurtdrama mystery romance thriller
betty thomas,oliver platt,raven-symoné,peter boyle,comedy family fantasy,doctor dolittle,betty thomas oliver platt raven-symonépeter boylecomedy family fantasy
m. night shyamalan,rory culkin,merritt wever,cherry jones,drama sci-fi thriller,signs,m. night shyamalan rory culkin merritt wevercherry jonesdrama sci-fi thriller
andrew adamson,rupert everett,jennifer saunders,conrad vernon,adventure animation comedy family fantasy romance,shrek 2,andrew adamson rupert everett jennifer saundersconrad vernonadventure animation comedy family fantasy romance
john lasseter,john ratzenberger,cheech marin,george carlin,adventure animation comedy family sport,cars,john lasseter john ratzenberger cheech maringeorge carlinadventure animation comedy family sport
garry marshall,julia roberts,christopher meloni,hector elizondo,comedy romance,runaway bride,garry marshall julia roberts christopher melonihector elizondocomedy romance
rob cohen,vin diesel,eve,leila arcieri,action adventure thriller,xxx,rob cohen vin diesel eveleila arcieriaction adventure thriller
paul tibbitt,tim conway,billy west,eddie deezen,adventure animation comedy family fantasy,the spongebob movie: sponge out of water,paul tibbitt tim conway billy westeddie deezenadventure animation comedy family fantasy
ron howard,lili taylor,delroy lindo,rene russo,crime thriller,ransom,ron howard lili taylor delroy lindorene russocrime thriller
quentin tarantino,michael fassbender,brad pitt,christoph waltz,adventure drama war,inglourious basterds,quentin tarantino michael fassbender brad pittchristoph waltzadventure drama war
steven spielberg,robin williams,julia roberts,bob hoskins,adventure comedy family fantasy,hook,steven spielberg robin williams julia robertsbob hoskinsadventure comedy family fantasy
brett ratner,dwayne johnson,rufus sewell,ingrid bolsø berdal,action adventure,hercules,brett ratner dwayne johnson rufus sewellingrid bolsø berdalaction adventure
renny harlin,bruce willis,john amos,franco nero,action thriller,die hard 2,renny harlin bruce willis john amosfranco neroaction thriller
clark johnson,jeremy renner,josh charles,ll cool j,action adventure crime thriller,s.w.a.t.,clark johnson jeremy renner josh charlesll cool jaction adventure crime thriller
unknown,nicole beharie,katia winter,lyndie greenwood,adventure drama fantasy mystery thriller,sleepy hollow            ,unknown nicole beharie katia winterlyndie greenwoodadventure drama fantasy mystery thriller
cameron crowe,tom cruise,ivana milicevic,noah taylor,fantasy mystery romance sci-fi thriller,vanilla sky,cameron crowe tom cruise ivana milicevicnoah taylorfantasy mystery romance sci-fi thriller
m. night shyamalan,bryce dallas howard,freddy rodríguez,bob balaban,drama fantasy mystery thriller,lady in the water,m. night shyamalan bryce dallas howard freddy rodríguezbob balabandrama fantasy mystery thriller
paul w.s. anderson,sanaa lathan,colin salmon,raoul bova,action horror sci-fi thriller,avp: alien vs. predator,paul w.s. anderson sanaa lathan colin salmonraoul bovaaction horror sci-fi thriller
betty thomas,amy poehler,bridgit mendler,jesse mccartney,animation comedy family fantasy music,alvin and the chipmunks: the squeakquel,betty thomas amy poehler bridgit mendlerjesse mccartneyanimation comedy family fantasy music
randall wallace,jon hamm,marc blucas,chris klein,action drama history war,we were soldiers,randall wallace jon hamm marc blucaschris kleinaction drama history war
